_unit_id,Worker Answer,context,drug_name,disease_name
2259533331,indication_treatment,"1 INDICATIONS AND USAGE

1.1 Ovarian Cancer
DOXIL is indicated for the treatment of patients with ovarian cancer whose disease has progressed or recurred after platinum-based chemotherapy.
1.2 AIDS-Related Kaposi's Sarcoma
DOXIL is indicated for the treatment of AIDS-related Kaposi's sarcoma in patients after failure of prior systemic chemotherapy or intolerance to such therapy.
1.3 Multiple Myeloma
DOXIL, in combination with bortezomib, is indicated for the treatment of patients with multiple myeloma who have not previously received bortezomib and have received at least one prior therapy.
Close",Doxorubicin,ovarian cancer
2259533404,indication_treatment,"1 INDICATIONS AND USAGE

1.1 Patient Selection Considerations
Serum potassium levels should be measured before initiating INSPRA therapy, and INSPRA should not be prescribed if serum potassium is >5.5 mEq/L. [See CONTRAINDICATIONS (4)].
1.2 Congestive Heart Failure Post-Myocardial Infarction
INSPRA is indicated to improve survival of stable patients with left ventricular (LV) systolic dysfunction (ejection fraction í¢äóÁŒ_40%) and clinical evidence of congestive heart failure (CHF) after an acute myocardial infarction (MI).
1.3 Hypertension
INSPRA is indicated for the treatment of hypertension. INSPRA may be used alone or in combination with other antihypertensive agents.
Close",Eplerenone,hypertension
2259533332,indication_treatment,"1 INDICATIONS AND USAGE
 Isoptoí‰Œ¬ Carpine is indicated for the: 
 1.1 Reduction of Elevated Intraocular Pressuare (IOP) in Patients with Open-Angle Glaucoma or Ocular Hypertension
1.2 Management of Acute Angle-Closure Glaucoma
 1.3 Prevention of Postoperative Elevated IOP Associated with Laser Surgery
 1.4 Induction of Miosis
Close",Pilocarpine,hypertension
2259533384,indication_treatment,"1 INDICATIONS AND USAGE
AZOPTí‰Œ¬ (brinzolamide ophthalmic suspension) 1% is a carbonic anhydrase inhibitor indicated in the treatment of elevated intraocular pressure in patients with ocular hypertension or open-angle glaucoma.
Close",Brinzolamide,hypertension
2259533318,indication_symptomatic_relief,"1 INDICATIONS AND USAGE
Flurbiprofen tablets are indicated: 
For relief of the signs and symptoms of rheumatoid arthritis. 
For relief of the signs and symptoms of osteoarthritis. 
Close",Flurbiprofen,rheumatoid arthritis
2259533336,indication_treatment,"1 INDICATIONS AND USAGE
Latanoprost is indicated for the reduction of elevated intraocular pressure in patients with open-angle glaucoma or ocular hypertension.
Close",Latanoprost,hypertension
2259536667,indication_treatment,"1 INDICATIONS AND USAGE
LOVAZA’äÎÂ (omega-3-acid ethyl esters) is indicated as an adjunct to diet to reduce triglyceride (TG) levels in adult patients with severe (greater than or equal to 500 mg per dL) hypertriglyceridemia (HTG).
 Usage Considerations: Patients should be placed on an appropriate lipid-lowering diet before receiving LOVAZA and should continue this diet during treatment with LOVAZA.
Laboratory studies should be done to ascertain that the lipid levels are consistently abnormal before instituting therapy with LOVAZA. Every attempt should be made to control serum lipids with appropriate diet, exercise, weight loss in obese patients, and control of any medical problems such as diabetes mellitus and hypothyroidism that are contributing to the lipid abnormalities. Medications known to exacerbate hypertriglyceridemia (such as beta’äÎ¾blockers, thiazides, estrogens) should be discontinued or changed if possible prior to consideration of triglyceride-lowering drug therapy.
 Limitations of Use: 
The effect of LOVAZA on the risk for pancreatitis has not been determined.
The effect of LOVAZA on cardiovascular mortality and morbidity has not been determined.
Close",Alpha-Linolenic Acid,Diabetes Mellitus
2259536841,indication_treatment,"1 INDICATIONS AND USAGE
LOVAZA’äÎÂ (omega-3-acid ethyl esters) is indicated as an adjunct to diet to reduce triglyceride (TG) levels in adult patients with severe (greater than or equal to 500 mg per dL) hypertriglyceridemia (HTG).
 Usage Considerations: Patients should be placed on an appropriate lipid-lowering diet before receiving LOVAZA and should continue this diet during treatment with LOVAZA.
Laboratory studies should be done to ascertain that the lipid levels are consistently abnormal before instituting therapy with LOVAZA. Every attempt should be made to control serum lipids with appropriate diet, exercise, weight loss in obese patients, and control of any medical problems such as diabetes mellitus and hypothyroidism that are contributing to the lipid abnormalities. Medications known to exacerbate hypertriglyceridemia (such as beta’äÎ¾blockers, thiazides, estrogens) should be discontinued or changed if possible prior to consideration of triglyceride-lowering drug therapy.
 Limitations of Use: 
The effect of LOVAZA on the risk for pancreatitis has not been determined.
The effect of LOVAZA on cardiovascular mortality and morbidity has not been determined.
Close",Icosapent,Diabetes Mellitus
2259536907,indication_treatment,"1 INDICATIONS AND USAGE
LOVAZA’äÎÂ (omega-3-acid ethyl esters) is indicated as an adjunct to diet to reduce triglyceride (TG) levels in adult patients with severe (greater than or equal to 500 mg per dL) hypertriglyceridemia (HTG).
 Usage Considerations: Patients should be placed on an appropriate lipid-lowering diet before receiving LOVAZA and should continue this diet during treatment with LOVAZA.
Laboratory studies should be done to ascertain that the lipid levels are consistently abnormal before instituting therapy with LOVAZA. Every attempt should be made to control serum lipids with appropriate diet, exercise, weight loss in obese patients, and control of any medical problems such as diabetes mellitus and hypothyroidism that are contributing to the lipid abnormalities. Medications known to exacerbate hypertriglyceridemia (such as beta’äÎ¾blockers, thiazides, estrogens) should be discontinued or changed if possible prior to consideration of triglyceride-lowering drug therapy.
 Limitations of Use: 
The effect of LOVAZA on the risk for pancreatitis has not been determined.
The effect of LOVAZA on cardiovascular mortality and morbidity has not been determined.
Close",Icosapent,Diabetes Mellitus
2259536974,indication_treatment,"1 INDICATIONS AND USAGE
LOVAZA’äÎÂ (omega-3-acid ethyl esters) is indicated as an adjunct to diet to reduce triglyceride (TG) levels in adult patients with severe (greater than or equal to 500 mg per dL) hypertriglyceridemia (HTG).
 Usage Considerations: Patients should be placed on an appropriate lipid-lowering diet before receiving LOVAZA and should continue this diet during treatment with LOVAZA.
Laboratory studies should be done to ascertain that the lipid levels are consistently abnormal before instituting therapy with LOVAZA. Every attempt should be made to control serum lipids with appropriate diet, exercise, weight loss in obese patients, and control of any medical problems such as diabetes mellitus and hypothyroidism that are contributing to the lipid abnormalities. Medications known to exacerbate hypertriglyceridemia (such as beta’äÎ¾blockers, thiazides, estrogens) should be discontinued or changed if possible prior to consideration of triglyceride-lowering drug therapy.
 Limitations of Use: 
The effect of LOVAZA on the risk for pancreatitis has not been determined.
The effect of LOVAZA on cardiovascular mortality and morbidity has not been determined.
Close",Doconexent,Diabetes Mellitus
2265783227,indication_treatment,"1 INDICATIONS AND USAGE
LOVAZA’äÎÂ (omega-3-acid ethyl esters) is indicated as an adjunct to diet to reduce triglyceride (TG) levels in adult patients with severe (greater than or equal to 500 mg per dL) hypertriglyceridemia (HTG).
 Usage Considerations: Patients should be placed on an appropriate lipid-lowering diet before receiving LOVAZA and should continue this diet during treatment with LOVAZA.
Laboratory studies should be done to ascertain that the lipid levels are consistently abnormal before instituting therapy with LOVAZA. Every attempt should be made to control serum lipids with appropriate diet, exercise, weight loss in obese patients, and control of any medical problems such as diabetes mellitus and hypothyroidism that are contributing to the lipid abnormalities. Medications known to exacerbate hypertriglyceridemia (such as beta’äÎ¾blockers, thiazides, estrogens) should be discontinued or changed if possible prior to consideration of triglyceride-lowering drug therapy.
 Limitations of Use: 
The effect of LOVAZA on the risk for pancreatitis has not been determined.
The effect of LOVAZA on cardiovascular mortality and morbidity has not been determined.
Close",Alpha-Linolenic Acid,Diabetes Mellitus
2265783663,indication_treatment,"1 INDICATIONS AND USAGE
LOVAZA’äÎÂ (omega-3-acid ethyl esters) is indicated as an adjunct to diet to reduce triglyceride (TG) levels in adult patients with severe (greater than or equal to 500 mg per dL) hypertriglyceridemia (HTG).
 Usage Considerations: Patients should be placed on an appropriate lipid-lowering diet before receiving LOVAZA and should continue this diet during treatment with LOVAZA.
Laboratory studies should be done to ascertain that the lipid levels are consistently abnormal before instituting therapy with LOVAZA. Every attempt should be made to control serum lipids with appropriate diet, exercise, weight loss in obese patients, and control of any medical problems such as diabetes mellitus and hypothyroidism that are contributing to the lipid abnormalities. Medications known to exacerbate hypertriglyceridemia (such as beta’äÎ¾blockers, thiazides, estrogens) should be discontinued or changed if possible prior to consideration of triglyceride-lowering drug therapy.
 Limitations of Use: 
The effect of LOVAZA on the risk for pancreatitis has not been determined.
The effect of LOVAZA on cardiovascular mortality and morbidity has not been determined.
Close",Icosapent,Diabetes Mellitus
2265783776,indication_treatment,"1 INDICATIONS AND USAGE
LOVAZA’äÎÂ (omega-3-acid ethyl esters) is indicated as an adjunct to diet to reduce triglyceride (TG) levels in adult patients with severe (greater than or equal to 500 mg per dL) hypertriglyceridemia (HTG).
 Usage Considerations: Patients should be placed on an appropriate lipid-lowering diet before receiving LOVAZA and should continue this diet during treatment with LOVAZA.
Laboratory studies should be done to ascertain that the lipid levels are consistently abnormal before instituting therapy with LOVAZA. Every attempt should be made to control serum lipids with appropriate diet, exercise, weight loss in obese patients, and control of any medical problems such as diabetes mellitus and hypothyroidism that are contributing to the lipid abnormalities. Medications known to exacerbate hypertriglyceridemia (such as beta’äÎ¾blockers, thiazides, estrogens) should be discontinued or changed if possible prior to consideration of triglyceride-lowering drug therapy.
 Limitations of Use: 
The effect of LOVAZA on the risk for pancreatitis has not been determined.
The effect of LOVAZA on cardiovascular mortality and morbidity has not been determined.
Close",Icosapent,Diabetes Mellitus
2265783948,indication_treatment,"1 INDICATIONS AND USAGE
LOVAZA’äÎÂ (omega-3-acid ethyl esters) is indicated as an adjunct to diet to reduce triglyceride (TG) levels in adult patients with severe (greater than or equal to 500 mg per dL) hypertriglyceridemia (HTG).
 Usage Considerations: Patients should be placed on an appropriate lipid-lowering diet before receiving LOVAZA and should continue this diet during treatment with LOVAZA.
Laboratory studies should be done to ascertain that the lipid levels are consistently abnormal before instituting therapy with LOVAZA. Every attempt should be made to control serum lipids with appropriate diet, exercise, weight loss in obese patients, and control of any medical problems such as diabetes mellitus and hypothyroidism that are contributing to the lipid abnormalities. Medications known to exacerbate hypertriglyceridemia (such as beta’äÎ¾blockers, thiazides, estrogens) should be discontinued or changed if possible prior to consideration of triglyceride-lowering drug therapy.
 Limitations of Use: 
The effect of LOVAZA on the risk for pancreatitis has not been determined.
The effect of LOVAZA on cardiovascular mortality and morbidity has not been determined.
Close",Doconexent,Diabetes Mellitus
2259533311,indication_treatment,"1 INDICATIONS AND USAGE
Methylphenidate hydrochloride tablets are indicated for the treatment of:
    í¢ä‰åŒ¢
   
    Attention Deficit Hyperactivity Disorders (ADHD) in pediatric patients 6 years and older and adults
   
    í¢ä‰åŒ¢
   
    Narcolepsy
   
Close",Dexmethylphenidate,narcolepsy
2259533314,indication_treatment,"1 INDICATIONS AND USAGE
Methylphenidate hydrochloride tablets are indicated for the treatment of:
    í¢ä‰åŒ¢
   
    Attention Deficit Hyperactivity Disorders (ADHD) in pediatric patients 6 years and older and adults
   
    í¢ä‰åŒ¢
   
    Narcolepsy
   
Close",Methylphenidate,narcolepsy
2259533378,indication_treatment,"1í¢ä‰å¨Íí¢ä‰å¨ÍINDICATIONS AND USAGE

1.1í¢ä‰å¨Íí¢ä‰å¨ÍHypertension
MICARDIS is indicated for the treatment of hypertension.í‰Œæ It may be used alone or in combination with other antihypertensive agents [see Clinical Studies (14.1)].
1.2í¢ä‰å¨Íí¢ä‰å¨ÍCardiovascular Risk Reduction
MICARDIS is indicated for reduction of the risk of myocardial infarction, stroke, or death from cardiovascular causes in patients 55 years of age or older at high risk of developing major cardiovascular events who are unable to take ACE inhibitors.
High risk for cardiovascular events can be evidenced by a history of coronary artery disease, peripheral arterial disease, stroke, transient ischemic attack, or high-risk diabetes (insulin-dependent or non-insulin dependent) with evidence of end-organ damage [see Clinical Studies (14.2)]. í‰ŒæMICARDIS can be used in addition to other needed treatment (such as antihypertensive, antiplatelet or lipid-lowering therapy) [see Clinical Studies (14.2)].
Studies of telmisartan in this setting do not exclude that it may not preserve a meaningful fraction of the effect of the ACE inhibitor to which it was compared. Consider using the ACE inhibitor first, and, if it is stopped for cough only, consider re-trying the ACE inhibitor after the cough resolves.
Use of telmisartan with an ACE inhibitor is not recommended [see Warnings and Precautions (5.6)]. 
Close",Telmisartan,hypertension
2259533357,indication_treatment,"INDICATIONS AND USAGE

 Hypertension 
Isradipine is indicated in the management of hypertension. It may be used alone or concurrently with thiazide-type diuretics.
Close",Isradipine,hypertension
2259533369,indication_treatment,"INDICATIONS AND USAGE

 Hypertension 
Isradipine is indicated in the management of hypertension. It may be used alone or concurrently with thiazide-type diuretics.
Close",Isradipine,hypertension
2259533368,indication_treatment,"INDICATIONS AND USAGE

 Hypertension 
Metoprolol tartrate tablets, USP are indicated for the treatment of hypertension. They may be used alone or in combination with other antihypertensive agents.
 Angina Pectoris 
Metoprolol tartrate tablets, USP are indicated in the long-term treatment of angina pectoris.
 Myocardial Infarction 
Metoprolol tartrate tablets, USP are indicated in the treatment of hemodynamically stable patients with definite or suspected acute myocardial infarction to reduce cardiovascular mortality. Treatment with intravenous metoprolol tartrate can be initiated as soon as the patientí¢ä‰åä‹¢s clinical condition allowsí‰Œæ(see DOSAGE AND ADMINISTRATION, CONTRAINDICATIONS, and WARNINGS). 
Close",Metoprolol,hypertension
2259533316,indication_treatment,"INDICATIONS AND USAGE

 The intra-articular or soft tissue administration  of Kenalog-10 Injection (triamcinolone acetonide injectable suspension, USP) is indicated as adjunctive therapy for short-term administration (to tide the patient over an acute episode or exacerbation) in acute gouty arthritis, acute and subacute bursitis, acute nonspecific tenosynovitis, epicondylitis, rheumatoid arthritis, synovitis, or osteoarthritis.
 The intralesional administration of Kenalog-10 Injection is indicated for alopecia areata; discoid lupus erythematosus; keloids; localized hypertrophic, infiltrated, inflammatory lesions of granuloma annulare, lichen planus, lichen simplex chronicus (neurodermatitis), and psoriatic plaques; necrobiosis lipoidica diabeticorum. Kenalog-10 Injection may also be useful in cystic tumors of an aponeurosis or tendon (ganglia).
Close",Triamcinolone,alopecia areata
2259533385,indication_treatment,"INDICATIONS AND USAGE

Angina Pectoris
Nadolol tablets are indicated for the long-term management of patients with angina pectoris.
Hypertension
Nadolol tablets are indicated in the management of hypertension; they may be used alone or in combination with other antihypertensive agents, especially thiazide-type diuretics.
Close",Nadolol,hypertension
2259533387,indication_treatment,"INDICATIONS AND USAGE

Edema
Furosemide is indicated in adults and pediatric patients for the treatment of edema associated with congestive heart failure, cirrhosis of the liver, and renal disease, including the nephrotic syndrome. Furosemide is particularly useful when an agent with greater diuretic potential is desired.
Hypertension
Oral furosemide may be used in adults for the treatment of hypertension alone or in combination with other antihypertensive agents. Hypertensive patients who cannot be adequately controlled with thiazides will probably also not be adequately controlled with furosemide alone.
Close",Furosemide,hypertension
2259533381,indication_treatment,"INDICATIONS AND USAGE

Hypertension
AVAPRO (irbesartan) is indicated for the treatment of hypertension. It may be used alone or in combination with other antihypertensive agents.
Nephropathy in Type 2 Diabetic Patients
AVAPRO is indicated for the treatment of diabetic nephropathy with an elevated serum creatinine and proteinuria (>300 mg/day) in patients with type 2 diabetes and hypertension. In this population, AVAPRO reduces the rate of progression of nephropathy as measured by the occurrence of doubling of serum creatinine or end-stage renal disease (need for dialysis or renal transplantation) (see CLINICAL PHARMACOLOGY: Clinical Studies).
Close",Irbesartan,hypertension
2270650760,indication_treatment,"INDICATIONS AND USAGE

Hypertension
AVAPRO (irbesartan) is indicated for the treatment of hypertension. It may be used alone or in combination with other antihypertensive agents.
Nephropathy in Type 2 Diabetic Patients
AVAPRO is indicated for the treatment of diabetic nephropathy with an elevated serum creatinine and proteinuria (>300 mg/day) in patients with type 2 diabetes and hypertension. In this population, AVAPRO reduces the rate of progression of nephropathy as measured by the occurrence of doubling of serum creatinine or end-stage renal disease (need for dialysis or renal transplantation) (see CLINICAL PHARMACOLOGY: Clinical Studies).
Close",Irbesartan,hypertension
2259533376,indication_treatment,"INDICATIONS AND USAGE

Hypertension
Quinapril hydrochloride is indicated for the treatment of hypertension. It may be used alone or incombination with thiazide diuretics.
In using quinapril hydrochloride, consideration should be given to the fact that another angiotensinconvertingenzyme inhibitor, captopril, has caused agranulocytosis, particularly in patients with renalimpairment or collagen vascular disease. Available data are insufficient to show that quinaprilhydrochloride does not have a similar risk (see WARNINGS).
Angioedema in black patients
Black patients receiving ACE inhibitor monotherapy have beenreported to have a higher incidence of angioedema compared to non-blacks. It should also be notedthat in controlled clinical trials ACE inhibitors have an effect on blood pressure that is less in blackpatients than in non-blacks.
Close",Quinapril,hypertension
2259533397,indication_treatment,"INDICATIONS AND USAGE

Hypertension
Trandolapril Tablets are indicated for the treatment of hypertension. They may be used alone or in combination with other antihypertensive medication such as hydrochlorothiazide. 
Close",Trandolapril,hypertension
2259533333,indication_treatment,"INDICATIONS AND USAGE

Hypertension:
Losartan potassium tablets are indicated for the treatment of hypertension. It may be used alone or in combination with other antihypertensive agents, including diuretics. 
Hypertensive Patients with Left Ventricular Hypertrophy:
Losartan potassium tablets are indicated to reduce the risk of stroke in patients with hypertension and left ventricular hypertrophy, but there is evidence that this benefit does not apply to Black patients (see PRECAUTIONS, Raceand CLINICAL PHARMACOLOGY, Pharmacodynamics and Clinical Effects, Reduction in the Risk of Stroke, Race).  
Close",Losartan,hypertension
2259533323,unrelated,"INDICATIONS AND USAGE
 (To understand fully the indication for this product, please read the entire INDICATIONS AND USAGE section of the labeling.) 
Ciclopirox Topical Solution, 8% (Nail Lacquer), as a component of a comprehensive management program, is indicated as topical treatment in immunocompetent patients with mild to moderate onychomycosis of fingernails and toenails without lunula involvement, due to Trichophyton rubrum. The comprehensive management program includes removal of the unattached, infected nails as frequently as monthly, by a health care professional who has special competence in the diagnosis and treatment of nail disorders, including minor nail procedures. 
No studies have been conducted to determine whether ciclopirox might reduce the effectiveness of systemic antifungal agents for onychomycosis. Therefore, the concomitant use of 8% ciclopirox topical solution and systemic antifungal agents for onychomycosis is not recommended.
Ciclopirox Topical Solution, 8% (Nail Lacquer) should be used only under medical supervision as described above.
The effectiveness and safety of Ciclopirox Topical Solution, 8% (Nail Lacquer) in the following populations has not been studied. The clinical trials with use of Ciclopirox Topical Solution, 8% (Nail Lacquer) excluded patients who: were pregnant or nursing, planned to become pregnant, had a history of immunosuppression (e.g., extensive, persistent, or unusual distribution of dermatomycoses, extensive seborrheic dermatitis, recent or recurring herpes zoster, or persistent herpes simplex), were HIV seropositive, received organ transplant, required medication to control epilepsy, were insulin dependent diabetics or had diabetic neuropathy. Patients with severe plantar (moccasin) tinea pedis were also excluded.
The safety and efficacy of using Ciclopirox Topical Solution, 8% (Nail Lacquer) daily for greater than 48 weeks have not been established.
Close",Ciclopirox,epilepsy syndrome
2259533335,indication_treatment,"INDICATIONS AND USAGE
 BETAGANí‰Œ¬ ophthalmic solution has been shown to be effective in lowering intraocular pressure and may be used in patients with chronic open-angle glaucoma or ocular hypertension.
Close",Levobunolol,hypertension
2270640805,indication_treatment,"INDICATIONS AND USAGE
 BETAGANí‰Œ¬ ophthalmic solution has been shown to be effective in lowering intraocular pressure and may be used in patients with chronic open-angle glaucoma or ocular hypertension.
Close",Levobunolol,hypertension
2270471797,effect,"INDICATIONS AND USAGE
 ClindacinÃ¢â‚¬Â¢PÃ‚Â® is indicated in the treatment of acne vulgaris. In view of the potential for diarrhea, bloody diarrhea and pseudomembranous colitis, the physician should consider whether other agents are more appropriate (see CONTRAINDICATIONS, WARNINGS and ADVERSE REACTIONS).
Close",Clindamycin,DIARRHEA
2259533370,indication_treatment,"INDICATIONS AND USAGE
 Hypertension Lisinopril tablets are indicated for the treatment of hypertension. They may be used alone as initial therapy or concomitantly with other classes of antihypertensive agents. Heart Failure Lisinopril tablets are indicated as adjunctive therapy in the management of heart failure in patients who are not responding adequately to diuretics and digitalis. Acute Myocardial Infarction Lisinopril tablets are indicated for the treatment of hemodynamically stable patients within 24 hours of acute myocardial infarction, to improve survival. Patients should receive, as appropriate, the standard recommended treatments such as thrombolytics, aspirin and beta-blockers.In using lisinopril tablets, consideration should be given to the fact that another angiotensin-converting enzyme inhibitor, captopril, has caused agranulocytosis, particularly in patients with renal impairment or collagen vascular disease, and that available data are insufficient to show that lisinopril tablets does not have a similar risk. (See WARNINGS.)In considering the use of lisinopril tablets, it should be noted that in controlled clinical trials ACE inhibitors have an effect on blood pressure that is less in Black patients than in non-Blacks. In addition, ACE inhibitors have been associated with a higher rate of angioedema in Black than in non-Black patients (see WARNINGS, Anaphylactoid and Possibly Related Reactions).
Close",Lisinopril,hypertension
2259533319,indication_treatment,"INDICATIONS AND USAGE
 Kidney, Liver, and Heart Transplantation 
Neoral is indicated for the prophylaxis of organ rejection in kidney, liver, and heart allogeneic transplants. Neoral has been used in combination with azathioprine and corticosteroids.
 Rheumatoid Arthritis 
Neoral is indicated for the treatment of patients with severe active, rheumatoid arthritis where the disease has not adequately responded to methotrexate. Neoral can be used in combination with methotrexate in rheumatoid arthritis patients who do not respond adequately to methotrexate alone.
 Psoriasis 
Neoral is indicated for the treatment of adult, nonimmunocompromised patients with severe (i.e., extensive and/or disabling), recalcitrant, plaque psoriasis who have failed to respond to at least one systemic therapy (e.g., PUVA, retinoids, or methotrexate) or in patients for whom other systemic therapies are contraindicated, or cannot be tolerated.
While rebound rarely occurs, most patients will experience relapse with Neoral as with other therapies upon cessation of treatment.
Close",Ciclosporin,rheumatoid arthritis
