Drug	Disease
DB00158	C1510471
DB00159	C1623040
DB00159	C0020557
DB00162	C0687148
DB00162	C1510471
DB00162	C0042842
DB00163	C0042875
DB00165	C1623040
DB00165	C1849508
DB00165	C0936215
DB00166	C0740447
DB00169	C0029458
DB00169	C0020626
DB00169	C0035579
DB00169	C0020598
DB00169	C1510471
DB00169	C0029442
DB00169	C0221468
DB00169	C0029456
DB00175	C0038454
DB00175	C0020479
DB00175	C0342882
DB00175	C0020443
DB00175	C0020557
DB00175	C0020474
DB00175	C0003850
DB00176	C0028768
DB00176	C0031572
DB00177	C0264716
DB00177	C0020538
DB00178	C0038454
DB00178	C0264716
DB00178	C0020538
DB00179	C0022602
DB00180	C2607914
DB00180	C0004096
DB00181	C1562430
DB00182	C0028754
DB00182	C1263846
DB00182	C0027404
DB00184	C0030783
DB00184	C0028043
DB00186	C0238111
DB00186	C0014553
DB00186	C0014550
DB00186	C0270846
DB00186	C0003467
DB00186	C0038220
DB00186	C0030319
DB00187	C0004238
DB00187	C0039240
DB00187	C3661921
DB00188	C0026764
DB00188	C0334634
DB00189	C0917801
DB00190	C0030567
DB00190	C0242422
DB00190	C0030568
DB00191	C0020649
DB00191	C0028754
DB00193	C0150055
DB00193	C0029408
DB00193	C0030193
DB00194	C0022570
DB00194	C0019357
DB00195	C0020538
DB00195	C0028840
DB00195	C0017612
DB00196	C0919659
DB00196	C0349009
DB00196	C0700345
DB00196	C0006849
DB00196	C0006848
DB00196	C0239295
DB00196	C0085436
DB00196	C0877445
DB00196	C0153252
DB00198	C0021400
DB00199	C0012546
DB00199	C0029076
DB00199	C0729586
DB00199	C0275556
DB00199	C0153196
DB00199	C0339968
DB00199	C0004626
DB00199	C1278807
DB00199	C0275665
DB00199	C0275761
DB00199	C0275652
DB00199	C1318973
DB00199	C0023241
DB00199	C1112709
DB00199	C0554628
DB00199	C0023860
DB00199	C0009770
DB00199	C0341834
DB00199	C0043167
DB00199	C0014752
DB00199	C0178299
DB00199	C0155862
DB00199	C0039128
DB00199	C0339959
DB00199	C0153195
DB00199	C0001144
DB00199	C0271429
DB00199	C0032302
DB00199	C0018081
DB00199	C1112209
DB00199	C0025289
DB00199	C0008311
DB00199	C0684256
DB00199	C0019147
DB00199	C2242472
DB00199	C0042029
DB00199	C0157749
DB00200	C0042847
DB00200	C0238080
DB00200	C0002892
DB00201	C0393735
DB00201	C2607914
DB00201	C0030193
DB00201	C0042376
DB00201	C0004604
DB00201	C0009088
DB00201	C0003862
DB00201	C0392171
DB00201	C0009443
DB00201	C0026838
DB00201	C1260880
DB00201	C0027424
DB00201	C0037195
DB00201	C0013390
DB00201	C0033893
DB00201	C0149931
DB00201	C0232058
DB00203	C2973725
DB00203	C0242350
DB00205	C0024530
DB00205	C1720498
DB00205	C0040558
DB00206	C0033975
DB00206	C0020538
DB00207	C2733595
DB00207	C0275804
DB00207	C2349530
DB00207	C0339933
DB00207	C0729586
DB00207	C0339959
DB00207	C1278807
DB00207	C0554628
DB00207	C0153195
DB00207	C0857846
DB00207	C0275652
DB00207	C0007947
DB00207	C0009768
DB00207	C0004626
DB00207	C0520777
DB00207	C0341834
DB00207	C0155862
DB00207	C0032302
DB00207	C1318973
DB00207	C0857831
DB00207	C0275556
DB00207	C1261256
DB00207	C0276026
DB00207	C0856695
DB00208	C0596298
DB00209	C0150045
DB00209	C0403643
DB00209	C0042023
DB00209	C0085606
DB00210	C0001144
DB00211	C0020651
DB00213	C0267055
DB00213	C0043515
DB00213	C0017168
DB00213	C0027662
DB00213	C0030920
DB00214	C0020538
DB00214	C0013604
DB00214	C0581377
DB00214	C0866125
DB00215	C0270549
DB00215	C1269683
DB00215	C0011581
DB00216	C0149931
DB00218	C0339959
DB00218	C0275556
DB00218	C0856695
DB00218	C0857831
DB00218	C0343402
DB00218	C0032302
DB00218	C0276026
DB00218	C0014347
DB00218	C0243001
DB00218	C1318973
DB00218	C0554628
DB00218	C0178299
DB00218	C0032308
DB00218	C0031154
DB00218	C0519030
DB00218	C0004626
DB00218	C0155862
DB00218	C1112209
DB00218	C0009768
DB00218	C0035468
DB00218	C0524688
DB00218	C0152936
DB00220	C0019693
DB00222	C0011860
DB00223	C0033775
DB00223	C0085074
DB00223	C0406317
DB00223	C0015230
DB00223	C0033777
DB00223	C0079773
DB00223	C0024138
DB00223	C0149922
DB00223	C0011616
DB00223	C0406326
DB00223	C0036508
DB00223	C0011615
DB00224	C0019693
DB00226	C0020538
DB00227	C0342882
DB00227	C0020473
DB00227	C0020443
DB00227	C0473527
DB00227	C0020474
DB00227	C0020557
DB00227	C0003850
DB00230	C0740447
DB00230	C0016053
DB00230	C0032768
DB00230	C0270549
DB00231	C0917801
DB00232	C0020538
DB00232	C0866125
DB00232	C0013604
DB00233	C0275959
DB00233	C0041327
DB00234	C1269683
DB00235	C0581377
DB00237	C0231403
DB00237	C0013428
DB00237	C0917801
DB00238	C0019693
DB00239	C0040252
DB00239	C0040262
DB00239	C1384589
DB00239	C0040259
DB00240	C0011616
DB00240	C0015230
DB00240	C0079773
DB00240	C0406317
DB00240	C0033775
DB00240	C0149922
DB00240	C0011615
DB00240	C0085074
DB00240	C0036508
DB00240	C0406326
DB00240	C0024138
DB00240	C0033777
DB00241	C0033893
DB00242	C0023443
DB00243	C0002962
DB00244	C2937222
DB00244	C0009324
DB00244	C3697010
DB00244	C0267390
DB00245	C0015371
DB00245	C0030568
DB00245	C0030567
DB00245	C0242422
DB00246	C0270425
DB00246	C0036341
DB00246	C0236780
DB00246	C0338873
DB00248	C0020514
DB00249	C0019357
DB00250	C0001144
DB00250	C0023343
DB00250	C0011608
DB00251	C0700345
DB00252	C0038220
DB00252	C2711653
DB00252	C0014544
DB00252	C0234978
DB00252	C0014547
DB00252	C0494475
DB00252	C0238111
DB00252	C0014549
DB00252	C0270425
DB00252	C0234974
DB00253	C0035854
DB00253	C0022081
DB00253	C0423234
DB00253	C0022073
DB00253	C0010032
DB00253	C0042164
DB00253	C1275687
DB00253	C0010043
DB00253	C0010543
DB00253	C0009766
DB00254	C0001144
DB00254	C0178299
DB00254	C0006309
DB00254	C0036472
DB00254	C0024286
DB00254	C0035793
DB00254	C0153195
DB00254	C1997322
DB00254	C0003177
DB00254	C0034362
DB00254	C0275652
DB00254	C0001261
DB00254	C0041472
DB00254	C0041471
DB00254	C0003175
DB00254	C0008354
DB00254	C0041351
DB00254	C0007947
DB00254	C0744451
DB00254	C1112709
DB00254	C0031350
DB00254	C0037199
DB00254	C0040592
DB00254	C0006060
DB00254	C0275665
DB00254	C0043388
DB00254	C0340354
DB00254	C0018081
DB00254	C0006181
DB00254	C0023860
DB00254	C0035585
DB00254	C0149966
DB00254	C0041473
DB00254	C0035597
DB00254	C0153196
DB00254	C0153193
DB00254	C0155866
DB00254	C0152945
DB00254	C0039128
DB00254	C0018190
DB00254	C0032302
DB00254	C0006277
DB00254	C0004771
DB00254	C0029291
DB00254	C0035021
DB00254	C0004626
DB00254	C0008149
DB00257	C0700345
DB00257	C0011974
DB00257	C0919659
DB00257	C0040252
DB00257	C0006846
DB00257	C0006849
DB00257	C1384589
DB00257	C0040259
DB00257	C0040262
DB00258	C1704431
DB00258	C0151714
DB00258	C0018790
DB00258	C0020598
DB00258	C0020461
DB00258	C0151940
DB00259	C0042998
DB00259	C0700345
DB00260	C0577708
DB00260	C0041327
DB00260	C0275959
DB00260	C0729524
DB00261	C0040028
DB00262	C0153633
DB00262	C0026764
DB00262	C0019829
DB00262	C0079744
DB00262	C0024305
DB00262	C0555198
DB00262	C0349543
DB00263	C0341834
DB00263	C0729586
DB00263	C0007947
DB00263	C0025294
DB00263	C0271429
DB00263	C0028242
DB00263	C0024535
DB00263	C0040592
DB00263	C0009770
DB00263	C1278807
DB00263	C0042029
DB00264	C0020538
DB00264	C0027051
DB00264	C0948089
DB00264	C0002962
DB00264	C0264716
DB00265	C0036262
DB00265	C0033774
DB00266	C0027051
DB00266	C0040038
DB00266	C0040053
DB00266	C0007780
DB00268	C0030567
DB00268	C0035258
DB00270	C0020538
DB00273	C0014549
DB00273	C2711653
DB00273	C0238111
DB00273	C0234974
DB00274	C0032285
DB00274	C0032308
DB00274	C0178299
DB00274	C0276089
DB00274	C0042029
DB00274	C1112209
DB00274	C0276026
DB00274	C0149725
DB00275	C0020538
DB00277	C0024115
DB00277	C0038218
DB00277	C1273489
DB00277	C0004096
DB00277	C0006277
DB00277	C0034067
DB00277	C4038730
DB00277	C0006266
DB00277	C0347950
DB00278	C0272275
DB00279	C0007115
DB00279	C0018022
DB00279	C0027145
DB00279	C0010308
DB00279	C0018021
DB00279	C0020676
DB00279	C0238298
DB00280	C0085612
DB00281	C0085612
DB00281	C0036262
DB00281	C0030759
DB00281	C0033775
DB00281	C0033774
DB00281	C0032768
DB00281	C0152030
DB00281	C0019112
DB00281	C0041976
DB00281	C0030757
DB00281	C0027796
DB00281	C0235339
DB00281	C0033038
DB00282	C0149911
DB00282	C3898069
DB00282	C0029401
DB00283	C0027424
DB00283	C0343065
DB00283	C0037383
DB00283	C0042109
DB00283	C2607914
DB00283	C0033774
DB00283	C0009766
DB00283	C1260880
DB00283	C0035460
DB00284	C0011860
DB00285	C0031572
DB00285	C1269683
DB00285	C0270549
DB00285	C0030319
DB00286	C0600142
DB00286	C1384606
DB00287	C0028840
DB00287	C0017612
DB00288	C0085074
DB00288	C0011616
DB00288	C0033775
DB00288	C0079773
DB00288	C0406326
DB00288	C0149922
DB00288	C0406317
DB00288	C0033777
DB00288	C0011615
DB00288	C0015230
DB00288	C0024138
DB00288	C0036508
DB00289	C1263846
DB00290	C0007137
DB00290	C0024305
DB00290	C0007847
DB00290	C0079744
DB00290	C0024301
DB00290	C0080032
DB00290	C0278996
DB00290	C1336708
DB00290	C0153601
DB00290	C1272826
DB00290	C0019829
DB00291	C0024301
DB00291	C0019829
DB00291	C0023434
DB00295	C0150055
DB00295	C2215257
DB00295	C0030193
DB00295	C0278140
DB00295	C0011991
DB00297	C0152030
DB00297	C0033774
DB00299	C0019360
DB00299	C1274323
DB00299	C1274321
DB00299	C0019345
DB00300	C0524909
DB00300	C0019693
DB00302	C0271578
DB00302	C0025323
DB00302	C0014175
DB00303	C0269398
DB00303	C0275550
DB00303	C0744130
DB00303	C0276026
DB00303	C1096562
DB00303	C0243001
DB00303	C0748196
DB00303	C0155862
DB00303	C1112209
DB00303	C1263758
DB00303	C0857831
DB00303	C0004626
DB00305	C0281361
DB00305	C0278498
DB00306	C0917801
DB00307	C0079773
DB00309	C0242379
DB00309	C0023473
DB00309	C0025202
DB00309	C0023449
DB00310	C0013604
DB00310	C0020538
DB00312	C0014544
DB00312	C0038220
DB00312	C0917798
DB00312	C0917801
DB00312	C0231403
DB00313	C0338873
DB00313	C2711653
DB00313	C0014544
DB00313	C0014553
DB00314	C0275959
DB00314	C0041327
DB00315	C0149931
DB00316	C0030193
DB00316	C0033893
DB00316	C0004604
DB00316	C0149931
DB00316	C0393735
DB00316	C0857177
DB00316	C0003862
DB00316	C0015967
DB00316	C2607914
DB00316	C0037195
DB00316	C0392171
DB00316	C0040460
DB00316	C0009443
DB00317	C0007131
DB00317	C1960925
DB00318	C0037383
DB00318	C0010200
DB00318	C0009443
DB00318	C0015967
DB00318	C0027424
DB00318	C0242429
DB00318	C0035455
DB00318	C0393735
DB00318	C1260880
DB00318	C0030193
DB00318	C0392171
DB00318	C0033893
DB00318	C2607914
DB00319	C1096258
DB00319	C0276075
DB00319	C0577690
DB00319	C0153196
DB00319	C1318973
DB00319	C0684256
DB00319	C0577709
DB00319	C0153195
DB00319	C0243001
DB00319	C0749958
DB00319	C0276088
DB00319	C0949083
DB00319	C0149725
DB00319	C0276089
DB00319	C2242472
DB00319	C0157749
DB00319	C0014836
DB00319	C0152964
DB00319	C0242172
DB00319	C0588233
DB00319	C0003615
DB00319	C0178299
DB00319	C0014347
DB00319	C2887096
DB00319	C0392618
DB00319	C0275652
DB00319	C0031154
DB00319	C1112209
DB00319	C3163829
DB00319	C0155860
DB00319	C0035468
DB00319	C0744130
DB00319	C0343402
DB00319	C0018081
DB00319	C0085394
DB00319	C0276064
DB00319	C0152973
DB00319	C0042029
DB00319	C0577708
DB00319	C0276026
DB00319	C0004626
DB00319	C0520775
DB00319	C1263758
DB00320	C0009088
DB00320	C0042376
DB00320	C0149931
DB00321	C0338908
DB00321	C0011581
DB00322	C0345904
DB00322	C1306632
DB00323	C0030567
DB00324	C0042164
DB00324	C1275687
DB00324	C0010543
DB00324	C0022073
DB00324	C0423234
DB00324	C0010043
DB00324	C0010032
DB00324	C0035854
DB00324	C0009766
DB00324	C0022081
DB00325	C0745138
DB00325	C0581377
DB00325	C0020538
DB00325	C0024588
DB00326	C0151714
DB00326	C0020461
DB00326	C0020598
DB00326	C1704431
DB00326	C0151940
DB00326	C0018790
DB00327	C0009443
DB00327	C0010200
DB00327	C2215257
DB00327	C0030193
DB00327	C0278140
DB00328	C0039520
DB00328	C0006444
DB00328	C0262399
DB00328	C0003873
DB00328	C0038013
DB00328	C0013274
DB00328	C0262633
DB00328	C0039103
DB00328	C0029408
DB00328	C0039503
DB00328	C0018099
DB00328	C0035435
DB00330	C0275959
DB00330	C0041327
DB00331	C0011860
DB00332	C0006266
DB00332	C1260880
DB00332	C2607914
DB00332	C0024117
DB00332	C0034067
DB00332	C0006277
DB00333	C0029104
DB00333	C0278140
DB00334	C0005587
DB00334	C0270425
DB00334	C1269683
DB00334	C0236780
DB00334	C0338873
DB00334	C0036341
DB00335	C0027051
DB00335	C0002962
DB00335	C0020538
DB00336	C0577708
DB00336	C0520775
DB00336	C0749958
DB00338	C0267055
DB00338	C0043515
DB00338	C0014869
DB00338	C0017168
DB00338	C0030920
DB00338	C0038358
DB00338	C0013295
DB00339	C0275959
DB00339	C0041327
DB00339	C0041318
DB00340	C0242422
DB00341	C0009766
DB00341	C0018621
DB00341	C1260880
DB00341	C0009443
DB00341	C0578870
DB00341	C2607914
DB00341	C0027424
DB00341	C0035460
DB00341	C0037383
DB00343	C0002963
DB00343	C0020538
DB00343	C0030590
DB00343	C0002962
DB00343	C0004238
DB00344	C0011581
DB00346	C1739363
DB00347	C0014544
DB00347	C0014553
DB00348	C0268490
DB00349	C0238111
DB00350	C0020538
DB00350	C0002170
DB00351	C0276587
DB00351	C0476089
DB00351	C1562029
DB00352	C0023467
DB00353	C0032797
DB00354	C0026603
DB00355	C1112209
DB00355	C0085394
DB00355	C1096258
DB00355	C0749955
DB00355	C0729524
DB00355	C0520775
DB00355	C2887096
DB00355	C0242172
DB00355	C0035468
DB00355	C0276075
DB00355	C0276026
DB00355	C0577709
DB00355	C0014347
DB00355	C0341503
DB00355	C0276089
DB00355	C0014836
DB00355	C0031154
DB00355	C0014179
DB00355	C0577708
DB00355	C0276088
DB00355	C1263758
DB00355	C0178299
DB00355	C0152973
DB00355	C0155860
DB00355	C0343402
DB00355	C0577690
DB00355	C0149725
DB00355	C3163829
DB00355	C0042029
DB00355	C1260917
DB00356	C0026838
DB00357	C0346993
DB00358	C0024537
DB00359	C0040558
DB00359	C0008513
DB00359	C0009324
DB00359	C1720498
DB00359	C0037299
DB00359	C0040560
DB00360	C0751434
DB00361	C0007131
DB00362	C0239295
DB00362	C2062982
DB00362	C0877445
DB00363	C3544321
DB00364	C0013295
DB00366	C0033774
DB00366	C0392171
DB00366	C0009766
DB00366	C0035460
DB00366	C0009443
DB00366	C0018621
DB00366	C0037383
DB00366	C0027424
DB00366	C0042109
DB00366	C2607914
DB00366	C1260880
DB00366	C0343065
DB00367	C0025323
DB00367	C0600142
DB00368	C0347950
DB00368	C0006277
DB00368	C0004096
DB00368	C0020649
DB00368	C0006267
DB00368	C0034067
DB00368	C0030567
DB00370	C1269683
DB00371	C0003467
DB00373	C0028840
DB00373	C0017612
DB00373	C0020538
DB00374	C2973725
DB00375	C0020443
DB00375	C0020473
DB00376	C0015371
DB00376	C0242422
DB00376	C0030567
DB00376	C0030568
DB00377	C0401160
DB00379	C0085612
DB00381	C0002963
DB00381	C0038454
DB00381	C0020538
DB00381	C0002962
DB00383	C0030920
DB00384	C0020538
DB00384	C0013604
DB00385	C0005684
DB00387	C0030567
DB00387	C0242422
DB00387	C0015371
DB00387	C0030568
DB00388	C0010200
DB00388	C0037383
DB00388	C1260880
DB00388	C0015967
DB00388	C0235267
DB00388	C0034886
DB00388	C0009766
DB00388	C0393735
DB00388	C0035455
DB00388	C0037195
DB00388	C0033246
DB00388	C0027424
DB00388	C2607914
DB00388	C0019112
DB00388	C0018621
DB00388	C0035460
DB00388	C0392171
DB00388	C0026961
DB00388	C0009443
DB00388	C0033775
DB00389	C0020550
DB00389	C0018213
DB00390	C0004238
DB00390	C0274726
DB00390	C0264716
DB00391	C0036341
DB00393	C0038525
DB00394	C0035455
DB00394	C0027430
DB00394	C0004096
DB00394	C2607914
DB00394	C0035460
DB00395	C0004604
DB00395	C0026838
DB00396	C0600142
DB00396	C0476089
DB00396	C0153685
DB00396	C0014175
DB00396	C0025874
DB00396	C0221392
DB00396	C0232940
DB00397	C0392171
DB00397	C2607914
DB00397	C0035460
DB00397	C0027424
DB00397	C0010200
DB00397	C0018621
DB00397	C1260880
DB00397	C0009443
DB00397	C0037383
DB00397	C0009766
DB00397	C0037195
DB00397	C0035455
DB00398	C0007134
DB00398	C2239176
DB00398	C3163939
DB00399	C0029456
DB00399	C0149911
DB00399	C0029401
DB00399	C3898069
DB00399	C0029458
DB00400	C0040252
DB00400	C1384589
DB00400	C0040250
DB00400	C0040261
DB00400	C2349994
DB00400	C0040259
DB00401	C0020538
DB00402	C0917801
DB00404	C0003467
DB00404	C0338908
DB00404	C0270549
DB00404	C0030319
DB00405	C0343065
DB00405	C0035460
DB00405	C0392171
DB00405	C0018621
DB00405	C0009766
DB00405	C0033774
DB00405	C0042109
DB00405	C2607914
DB00406	C0700345
DB00408	C0036341
DB00408	C0005586
DB00410	C0021099
DB00411	C0017612
DB00413	C0035258
DB00413	C0030567
DB00415	C0271429
DB00415	C0275555
DB00415	C0276088
DB00415	C0008311
DB00415	C0004626
DB00415	C0338395
DB00415	C0856695
DB00415	C0155814
DB00415	C2062475
DB00415	C0588233
DB00415	C0155862
DB00415	C0153195
DB00415	C0275665
DB00415	C0341503
DB00415	C1263758
DB00415	C0014121
DB00415	C1318973
DB00415	C0729586
DB00415	C2887088
DB00415	C0152486
DB00415	C0520767
DB00415	C3665800
DB00415	C0684256
DB00415	C0152964
DB00415	C0037199
DB00415	C0032308
DB00415	C0178299
DB00415	C0275652
DB00415	C0085437
DB00415	C0013369
DB00415	C0018081
DB00415	C0153196
DB00415	C0025295
DB00415	C0013371
DB00415	C0025294
DB00415	C0275556
DB00415	C0749958
DB00415	C0031350
DB00415	C0042029
DB00415	C0577690
DB00415	C0275761
DB00415	C0014836
DB00415	C0577709
DB00415	C0275804
DB00415	C1279247
DB00415	C1112209
DB00415	C0242172
DB00415	C0014347
DB00415	C0030528
DB00415	C0035468
DB00415	C0276026
DB00417	C0031350
DB00417	C1318973
DB00417	C1318559
DB00417	C0271429
DB00417	C0014733
DB00417	C0729586
DB00417	C0041912
DB00417	C0149704
DB00417	C0275804
DB00417	C0036285
DB00417	C0178299
DB00418	C0014544
DB00418	C0038220
DB00418	C0231403
DB00418	C0917801
DB00419	C0017205
DB00419	C0220756
DB00420	C0338873
DB00420	C0002994
DB00420	C0042963
DB00420	C0343065
DB00420	C2607914
DB00420	C0033774
DB00420	C0042109
DB00420	C0027498
DB00420	C0744896
DB00420	C0162565
DB00420	C0037383
DB00420	C0012734
DB00420	C0033975
DB00420	C1260880
DB00420	C0027424
DB00420	C0009766
DB00420	C0027497
DB00420	C0036341
DB00421	C0020538
DB00421	C0003962
DB00421	C0013604
DB00421	C0264716
DB00421	C0020428
DB00422	C1263846
DB00422	C0027404
DB00423	C0026838
DB00424	C0085610
DB00424	C0037036
DB00424	C0013428
DB00424	C0030920
DB00425	C0917801
DB00425	C0393760
DB00426	C0019360
DB00426	C1274323
DB00426	C1274321
DB00427	C0018621
DB00427	C1260880
DB00427	C0035460
DB00427	C0009443
DB00427	C0042109
DB00427	C0033774
DB00427	C0009766
DB00427	C0343065
DB00427	C2607914
DB00429	C0032797
DB00429	C0156543
DB00431	C0036262
DB00431	C0030757
DB00431	C0030759
DB00432	C0276228
DB00432	C0019357
DB00432	C0007102
DB00433	C0036341
DB00433	C0027498
DB00434	C1260880
DB00434	C0009766
DB00434	C0027424
DB00434	C0042109
DB00434	C0037383
DB00434	C0343065
DB00434	C2607914
DB00434	C0033774
DB00435	C0031190
DB00435	C0020542
DB00436	C0020538
DB00437	C1959799
DB00437	C0018099
DB00437	C0003868
DB00437	C0740394
DB00437	C0558595
DB00438	C2887096
DB00438	C2242472
DB00438	C0025294
DB00438	C0155860
DB00438	C0577709
DB00438	C0343402
DB00438	C0014836
DB00438	C0276088
DB00438	C0178299
DB00438	C0031154
DB00438	C0157749
DB00438	C1260917
DB00438	C0276085
DB00438	C1318973
DB00438	C1096258
DB00438	C0032308
DB00438	C0729524
DB00438	C2887088
DB00438	C1997728
DB00438	C0004626
DB00438	C0456107
DB00438	C0085437
DB00438	C0276026
DB00438	C0577708
DB00438	C0684256
DB00438	C0149725
DB00438	C0014179
DB00438	C1112209
DB00438	C0152973
DB00438	C0035468
DB00438	C0554628
DB00438	C0276089
DB00438	C0014347
DB00438	C0520775
DB00438	C0854324
DB00438	C0153225
DB00438	C0242172
DB00438	C0152964
DB00440	C0042029
DB00440	C0009768
DB00440	C0577709
DB00440	C0013371
DB00440	C0005743
DB00440	C0577708
DB00440	C0520775
DB00440	C0729524
DB00440	C0856695
DB00440	C0729586
DB00440	C0271429
DB00441	C0007131
DB00441	C0281361
DB00441	C1140680
DB00441	C0278488
DB00442	C0524909
DB00443	C0345468
DB00443	C0406317
DB00443	C0015397
DB00443	C0027726
DB00443	C0024141
DB00443	C0036202
DB00443	C0021390
DB00443	C0006114
DB00443	C0036830
DB00443	C0036508
DB00443	C0019829
DB00443	C0001627
DB00443	C0006444
DB00443	C0004096
DB00443	C0014742
DB00443	C0037274
DB00443	C0002994
DB00443	C0010346
DB00443	C0003873
DB00443	C0038218
DB00443	C0405580
DB00443	C0154301
DB00443	C0024301
DB00443	C0149911
DB00443	C0039503
DB00443	C0011606
DB00443	C0039103
DB00443	C0023052
DB00443	C0079773
DB00443	C0002875
DB00443	C0406326
DB00443	C2607914
DB00443	C0040259
DB00443	C0149922
DB00443	C0030807
DB00443	C0011616
DB00443	C0026948
DB00443	C0004364
DB00443	C0011615
DB00443	C0026769
DB00443	C0242459
DB00443	C0024138
DB00443	C0014488
DB00443	C0040896
DB00443	C0002880
DB00443	C0023449
DB00443	C0151467
DB00443	C0033775
DB00443	C0041321
DB00443	C0036271
DB00443	C0001403
DB00443	C0003872
DB00443	C1384589
DB00443	C0035439
DB00443	C1260899
DB00443	C1761609
DB00443	C0033860
DB00443	C0011608
DB00443	C2894027
DB00443	C0003868
DB00443	C0040252
DB00443	C0085074
DB00443	C0005138
DB00443	C0038013
DB00443	C0701163
DB00443	C0026857
DB00443	C0040147
DB00443	C0024305
DB00443	C0015230
DB00443	C0039520
DB00443	C0033777
DB00444	C0023449
DB00445	C0678222
DB00446	C0025294
DB00446	C0154639
DB00446	C0035585
DB00446	C0006060
DB00446	C0041466
DB00446	C0029878
DB00446	C0030528
DB00446	C0036117
DB00448	C0013295
DB00448	C0038358
DB00448	C0043515
DB00448	C0267055
DB00448	C0017168
DB00448	C0030920
DB00449	C0017612
DB00451	C0027145
DB00451	C0007115
DB00451	C0020473
DB00451	C0010308
DB00451	C0020676
DB00451	C0677607
DB00451	C0018021
