Drug	Disease
DB00635	C0019829
DB00139	C0162316
DB00022	C0242383
DB00133	C0729524
DB01112	C0014347
DB00158	C1510471
DB00537	C0013371
DB01623	C0033975
DB01129	C0030920
DB01257	C2919522
DB01234	C0011606
DB00618	C0729586
DB00620	C0001623
DB00420	C0012734
DB00357	C0346993
DB00685	C0004669
DB00165	C1623040
DB00741	C0035439
DB02703	C0035021
DB00570	C3163805
DB01005	C0278996
DB00451	C0018021
DB00318	C0035455
DB00281	C0030757
DB00152	C0043121
DB00712	C0026205
DB00434	C0036341
DB01206	C0006118
DB00770	C0003490
DB00085	C0267963
DB00748	C0042109
DB00573	C0029408
DB01137	C0162627
DB00060	C0751967
DB00514	C0027424
DB00305	C0281361
DB00420	C0027498
DB00684	C1997728
DB09262	C0403643
DB00285	C1263846
DB00860	C0023449
DB00853	C0004114
DB00635	C0038013
DB06691	C0392171
DB01183	C0267511
DB00860	C0022073
DB01039	C0020473
DB00741	C0021368
DB00617	C0014544
DB06756	C0010692
DB01165	C0036117
DB00440	C0271429
DB00675	C1458155
DB00455	C0018621
DB00424	C0037036
DB01150	C0033700
DB00770	C0242855
DB00230	C0270549
DB01138	C0268108
DB00443	C0015397
DB00041	C0024305
DB00783	C0600142
DB00970	C0553580
DB00741	C0011616
DB01351	C0038220
DB04572	C0024305
DB01331	C0162627
DB00647	C0030193
DB00634	C0017612
DB08806	C0017168
DB01136	C0027051
DB01212	C0042029
DB02703	C0456103
DB00860	C0010543
DB01036	C0042024
DB01059	C0269398
DB01070	C0020598
DB01026	C0006846
DB00373	C0027051
DB00948	C0343402
DB00455	C0042109
DB01129	C0013295
DB00130	C0036992
DB00254	C0153193
DB00182	C0027404
DB00882	C0021361
DB01364	C0037195
DB08936	C0018621
DB01238	C0270425
DB00458	C0030319
DB01234	C0395818
DB09526	C0151907
DB01069	C0026603
DB00391	C0036341
DB01148	C0042023
DB00186	C0014550
DB01126	C2937421
DB00685	C0004626
DB01364	C0004096
DB00240	C0018567
DB00760	C0243001
DB00692	C0015379
DB00446	C0154639
DB00655	C0401160
DB00415	C0178299
DB00475	C0236663
DB04572	C0024299
DB00715	C0031572
DB01047	C0021368
DB01192	C0030193
DB00712	C0029408
DB00860	C0011606
DB00798	C0085437
DB00440	C0013371
DB03904	C0021092
DB00717	C0271578
DB00434	C0042109
DB01160	C0156543
DB00864	C0238217
DB01380	C0151467
DB08867	C0042133
DB00708	C0030193
DB00780	C0011581
DB00957	C0600142
DB01332	C0153196
DB00475	C0001957
DB06723	C0013395
DB01234	C0004096
DB00016	C1561828
DB01438	C0013428
DB00760	C0149778
DB00884	C0029456
DB06317	C0026764
DB00544	C0030297
DB01174	C0238111
DB00685	C0178299
DB00596	C0023219
DB00759	C0029076
DB06819	C0175683
DB01015	C0729586
DB00790	C0020538
DB01380	C0006444
DB01139	C0152964
DB00423	C0026837
DB06273	C0017531
DB01598	C0243001
DB01327	C0042029
DB01597	C1112209
DB00397	C0018621
DB00635	C0011608
DB00741	C0019829
DB00257	C0040252
DB01101	C0024623
DB00736	C0017168
DB00380	C1458155
DB01603	C0032308
DB00620	C0149922
DB01212	C0154640
DB00584	C0013604
DB06282	C0018621
DB01220	C1262211
DB00458	C0011581
DB00762	C0030297
DB00748	C0035457
DB00978	C0033700
DB00180	C0035457
DB00281	C0042514
DB01380	C0405580
DB06168	C0342731
DB01211	C2733595
DB01356	C0011581
DB00936	C0392171
DB01150	C1318973
DB00002	C0007102
DB00938	C0034067
DB00620	C0003868
DB00959	C0019829
DB00973	C0020445
DB00620	C0006444
DB00233	C0041327
DB01332	C0004626
DB00277	C0003578
DB00368	C0004096
DB01017	C0035597
DB09345	C0043250
DB00121	C2937225
DB01050	C0392171
DB01348	C0020538
DB00515	C0024121
DB00871	C0006277
DB00555	C0014544
DB01130	C0033777
DB01607	C0032308
DB00479	C0155860
DB00958	C1458155
DB00306	C0917801
DB01053	C0039614
DB01082	C0276026
DB00200	C0085677
DB01625	C0030920
DB00405	C0035457
DB00433	C0036341
DB00448	C0267055
DB09072	C0027404
DB00334	C0036341
DB00368	C0006267
DB01242	C0011581
DB00620	C0024301
DB01328	C0276088
DB00571	C0042510
DB01577	C1263846
DB00335	C0004239
DB09281	C0030920
DB01421	C0002440
DB01222	C0035457
DB00684	C0729587
DB01435	C0030193
DB00713	C0014121
DB00319	C0276088
DB00146	C0035086
DB00288	C0018567
DB00114	C0024535
DB00348	C0268490
DB01165	C0339959
DB00214	C0866125
DB00857	C0040262
DB01380	C0004364
DB00915	C0030567
DB01077	C0029396
DB00567	C0729586
DB00934	C0006370
DB06372	C2316212
DB00291	C0024301
DB00668	C0006267
DB00601	C0004626
DB09144	C0572583
DB00766	C0857831
DB00022	C0007134
DB00766	C0276088
DB00099	C2267231
DB06691	C2607914
DB06702	C0150045
DB00863	C0013295
DB00136	C0085682
DB00916	C0014179
DB00013	C0010072
DB00618	C0520775
DB06402	C0004626
DB00290	C0079744
DB01140	C0178299
DB01234	C0010543
DB00874	C0031350
DB01138	C0740394
DB02703	C0043388
DB00366	C0027424
DB00598	C0002962
DB01598	C0744130
DB09014	C0003469
DB00571	C0007194
DB00384	C0020621
DB00418	C0917801
DB06684	C1269683
DB00863	C0038358
DB01013	C0406326
DB01332	C0154639
DB09559	C0007131
DB00741	C0149911
DB00685	C0032308
DB00871	C0013238
DB00443	C0011616
DB01248	C0038356
DB00199	C0015404
DB01112	C0271429
DB01060	C1279247
DB00641	C0020474
DB00215	C0028768
DB01046	C0267509
DB01076	C0020443
DB02703	C0155860
DB01332	C0033700
DB00041	C0860594
DB00850	C0027497
DB00502	C0042963
DB00443	C0041321
DB00485	C0004626
DB00242	C0026769
DB00443	C0021368
DB00648	C0001618
DB01351	C0231403
DB01174	C0042376
DB00847	C0010690
DB01066	C0856695
DB00706	C1739363
DB01111	C0854135
DB00319	C0152964
DB01248	C0018671
DB03793	C0011644
DB00716	C0004096
DB01019	C0000771
DB00268	C0035258
DB00545	C0026896
DB00400	C0040250
DB01380	C0039503
DB00959	C0026948
DB00744	C0155880
DB00514	C0035460
DB00283	C0033774
DB00514	C0393735
DB00112	C1621958
DB01744	C0038048
DB01064	C0004245
DB00264	C0042514
DB00515	C0262584
DB06216	C0236780
DB00671	C0040425
DB00640	C0039232
DB11606	C0272325
DB01212	C0877633
DB00531	C0035435
DB01185	C0028326
DB00520	C0877445
DB00833	C0004626
DB00713	C0152965
DB01331	C0276064
DB01600	C0003873
DB00312	C0917798
DB08822	C0020538
DB06782	C0311375
DB00860	C0018939
DB00715	C0349231
DB00736	C0014868
DB01416	C0153195
DB00627	C0030783
DB00440	C0729524
DB01234	C0024301
DB00826	C0009763
DB00635	C0030807
DB00388	C0020649
DB01611	C0162566
DB00319	C0149778
DB00760	C0035243
DB00199	C0339968
DB00681	C0276653
DB01380	C0037274
DB00741	C0005743
DB00254	C0043388
DB00121	C0006266
DB00741	C0003872
DB00846	C0016509
DB01294	C0014836
DB11560	C0740394
DB00582	C0239295
DB00993	C0003873
DB00434	C0343065
DB00253	C0010543
DB00111	C0238217
DB00544	C0007102
DB00115	C1510471
DB00281	C0006434
DB00618	C0006277
DB00429	C0010692
DB00863	C0267055
DB00773	C0023467
DB00595	C0037199
DB00925	C0020540
DB06211	C0008325
DB09037	C0007131
DB01595	C0014550
DB06715	C0027424
DB01137	C0857846
DB01053	C0554628
DB01438	C0030193
DB00303	C0014836
DB00027	C0854211
DB00240	C0085074
DB00860	C0149911
DB09074	C1140680
DB09037	C0860594
DB00888	C0026948
DB00857	C0040252
DB00188	C0026764
DB00939	C0013390
DB00798	C0343402
DB09297	C0524910
DB01331	C0032308
DB08890	C1868889
DB00596	C0406317
DB01075	C0042109
DB00238	C0019693
DB00996	C0005586
DB00570	C0023381
DB01039	C0020474
DB00838	C0023219
DB02703	C0004626
DB00412	C0011860
DB01229	C1458155
DB00277	C0006277
DB01155	C0856695
DB01075	C0035457
DB00356	C0037763
DB00479	C0014836
DB00660	C0026838
DB00547	C0033775
DB01148	C0085606
DB00314	C0041296
DB01017	C0001261
DB01327	C0022729
DB00564	C0038436
DB00665	C0936223
DB01060	C0037199
DB00741	C0011615
DB00401	C0020538
DB00675	C1134719
DB00591	C0079773
DB01179	C0009663
DB09351	C0028840
DB01416	C0004626
DB00207	C0339959
DB08936	C1260880
DB00681	C0037199
DB06168	C1275126
DB01044	C0018482
DB06819	C0751753
DB00364	C0038358
DB00223	C0036271
DB00518	C0040954
DB01053	C0017418
DB04930	C0036262
DB00678	C0745138
DB00595	C0032285
DB00501	C0027662
DB00317	C0007131
DB00969	C0348898
DB00233	C0041296
DB00169	C0022661
DB00564	C0038587
DB00227	C0020476
DB00838	C0406326
DB00846	C0015456
DB01326	C0149725
DB00091	C0003873
DB02703	C0032285
DB00874	C0015967
DB00564	C0494475
DB01620	C0009443
DB00977	C0156393
DB00008	C0009404
DB00959	C0001627
DB01003	C0009773
DB01165	C0038160
DB01269	C0346974
DB00981	C0237996
DB01232	C0019693
DB00415	C2887088
DB00588	C0155880
DB00099	C0027947
DB00199	C0025289
DB01598	C0004626
DB00620	C0011606
DB01208	C0857831
DB01059	C0520775
DB01607	C0520775
DB01165	C0158371
DB06168	C1384600
DB08439	C2215257
DB00288	C0079773
DB00493	C0001139
DB01327	C0178299
DB00936	C0036508
DB00186	C0033975
DB00845	C0343467
DB01137	C0729524
DB00591	C0033775
DB01059	C0033581
DB00106	C2711256
DB00663	C0011615
DB00719	C0042109
DB00277	C1273489
DB01598	C2242472
DB00663	C0085074
DB00993	C0024141
DB00443	C0010346
DB00880	C0264716
DB00411	C0017601
DB00515	C0024305
DB00982	C0020538
DB09321	C0006434
DB08799	C0037383
DB00184	C0030783
DB00741	C0022073
DB00570	C1135868
DB00390	C0007166
DB00663	C0033775
DB01415	C0038395
DB01041	C0038363
DB00948	C0155860
DB01229	C0024121
DB00858	C0022073
DB01620	C0037383
DB00440	C0042029
DB00862	C0242350
DB01212	C0243026
DB00811	C0035235
DB01060	C0008149
DB00523	C0037274
DB00727	C3661921
DB01037	C0030567
DB00326	C0151714
DB00973	C0020474
DB06764	C0235267
DB00859	C0025427
DB00446	C0041466
DB00040	C0020615
DB00618	C0007947
DB01017	C0149704
DB00694	C0023440
DB00363	C0036341
DB01165	C0275982
DB00685	C0857846
DB00186	C0007398
DB00424	C0085610
DB01294	C0042769
DB00223	C0406317
DB00658	C0031707
DB01380	C0002880
DB01042	C0027819
DB06674	C0009324
DB00710	C0029458
DB00146	C0020598
DB02703	C0030578
DB01176	C0026603
DB09065	C0019693
DB00319	C0276089
DB00924	C0026838
DB01057	C0014877
DB01114	C0018621
DB09071	C0393772
DB01380	C0005138
DB06720	C0017205
DB00280	C0085612
DB02659	C0008350
DB00415	C0275761
DB00653	C0426639
DB00415	C0014836
DB00764	C0155880
DB00846	C0036508
DB00860	C0033777
DB03256	C0002888
DB00540	C0014394
DB01121	C2711653
DB01181	C0038356
DB00999	C0745138
DB01206	C0022665
DB01005	C0002895
DB01352	C0231403
DB00479	C1260917
DB00620	C0002880
DB09287	C0426639
DB01229	C0020538
DB00747	C0013369
DB01015	C0856695
DB00873	C0035854
DB00766	C0042029
DB00766	C0004626
DB00479	C0339968
DB01017	C0029291
DB00515	C0029463
DB01100	C0020179
DB00595	C1997322
DB00319	C2242472
DB00635	C0036830
DB00553	C0033860
DB00555	C0036572
DB09212	C0003873
DB00333	C0278140
DB09087	C0017168
DB01076	C0342882
DB00935	C0027424
DB00254	C0023860
DB00303	C0036690
DB01212	C0178299
DB01274	C0034067
DB00531	C0553580
DB00373	C0002962
DB03209	C0024623
DB01059	C0155860
DB01234	C0022548
DB00685	C0392618
DB00747	C2607914
DB00671	C0856695
DB00692	C0027540
DB00867	C0022876
DB01005	C0033860
DB01327	C0162627
DB00415	C0038160
DB00652	C0474368
DB01137	C0041327
DB00967	C0042109
DB00128	C0020621
DB03793	C0220994
DB01168	C0006118
DB01326	C0729524
DB00681	C0029291
DB00303	C0155862
DB00046	C0011860
DB04854	C0740394
DB00537	C1318973
DB04574	C0025323
DB00218	C1112209
DB00415	C0276088
DB00493	C0005943
DB01121	C0014544
DB01060	C0877633
DB00448	C0017168
DB00959	C0038218
DB00485	C0149778
DB00635	C0024141
DB01053	C0001263
DB09310	C2584877
DB01146	C0033774
DB01059	C0748196
DB00588	C0011616
DB00759	C0026936
DB01044	C0877633
DB01086	C0019112
DB00716	C0033774
DB01165	C0276026
DB00853	C0025202
DB01237	C0027424
DB01181	C1261473
DB05259	C0026769
DB01413	C0004626
DB00475	C0003469
DB00681	C0023290
DB00314	C0041327
DB09350	C0030758
DB00899	C0030193
DB01140	C0520775
DB00935	C1260880
DB00593	C0014553
DB00288	C0023219
DB00945	C0018099
DB06203	C0011860
DB09053	C0334634
DB01602	C0018081
DB00601	C0032308
DB01241	C0020443
DB06826	C0017612
DB00239	C0040259
DB00493	C0004626
DB00766	C0275556
DB00420	C0744896
DB01112	C0152965
DB00741	C0003873
DB00422	C0011581
DB00608	C0036421
DB01356	C0030193
DB01326	C0749958
DB08941	C0034734
DB01104	C0031572
DB01285	C0038325
DB00956	C0027424
DB01147	C0154640
DB11596	C0016412
DB01044	C0856695
DB00607	C0032308
DB00705	C0019693
DB06681	C0238217
DB01234	C0010032
DB05109	C0023269
DB00036	C0008533
DB00244	C0009324
DB00517	C0030920
DB00438	C0031154
DB00634	C0013447
DB00547	C0015456
DB00899	C2215257
DB00479	C3163829
DB00415	C0035468
DB04843	C0038358
DB00880	C0745138
DB00997	C0019829
DB00388	C0019112
DB00919	C0275665
DB01620	C0027424
DB00415	C0038941
DB00567	C0178299
DB09477	C0020538
DB01364	C0035455
DB00427	C1260880
DB01234	C0033860
DB00184	C0009324
DB08871	C0278488
DB01167	C1274470
DB01113	C0003811
DB00959	C0021368
DB01059	C0018081
DB00741	C0038218
DB01620	C0035460
DB01327	C0149778
DB00841	C0581377
DB08808	C0020538
DB00462	C0010200
DB09075	C0013922
DB01059	C1720797
DB01274	C0024117
DB00389	C0020550
DB01332	C0554628
DB00501	C0043515
DB00768	C0009766
DB01224	C0005587
DB00373	C0028840
DB00531	C1458155
DB01174	C0020433
DB00794	C0040822
DB01112	C0149778
DB00324	C0035854
DB01114	C0035460
DB00603	C0153685
DB01173	C0027121
DB00826	C0010414
DB08888	C0730274
DB09213	C0003873
DB01212	C0085437
DB00404	C0030319
DB00254	C0153195
DB00833	C0178299
DB06691	C1260880
DB00582	C0276758
DB00864	C0011615
DB01112	C0276088
DB00864	C0400968
DB00788	C0037195
DB00537	C0007947
DB00620	C1260899
DB01420	C0022735
DB01047	C0011616
DB01165	C0341834
DB04865	C0023473
DB00629	C0020538
DB06186	C0860594
DB00315	C0149931
DB00798	C0178299
DB00320	C0020651
DB01198	C0917801
DB06589	C0007134
DB00514	C2316460
DB01329	C0018482
DB01150	C0339932
DB01112	C0032308
DB00712	C0003873
DB00395	C0026837
DB08936	C0027424
DB01211	C0008149
DB00244	C0037072
DB00324	C0042164
DB00800	C0020540
DB00578	C0042029
DB00806	C0085096
DB00512	C0684256
DB01139	C0554628
DB00788	C0021368
DB00275	C0020538
DB01130	C0079773
DB09345	C0151908
DB06786	C0024138
DB00838	C0015456
DB00618	C0043388
DB01260	C0024138
DB00884	C0029458
DB00451	C0020676
DB00608	C0030807
DB00741	C0242459
DB00637	C0578870
DB09320	C0034686
DB00860	C1761609
DB00288	C0011616
DB09115	C0002438
DB00443	C0040147
DB01165	C0018081
DB01330	C0032308
DB06710	C0020619
DB01139	C0014836
DB01060	C0079487
DB00624	C0010417
DB00431	C0030757
DB01380	C0024301
DB00343	C0004239
DB01075	C0018621
DB01590	C1562029
DB00547	C0015230
DB00891	C0011608
DB00209	C0085606
DB00994	C0014836
DB00626	C0038160
DB01059	C0004626
DB00826	C0006840
DB08799	C0027424
DB09276	C0003873
DB00999	C0020538
DB09345	C0033775
DB06414	C0019693
DB01003	C0009766
DB00443	C0015230
DB00607	C0178299
DB09096	C0085074
DB01053	C0014733
DB01243	C0423775
DB01332	C0577709
DB09324	C1263758
DB00945	C0021368
DB00860	C0009768
DB00571	C0014849
DB01005	C0007134
DB00711	C1527407
DB05812	C0376358
DB00254	C0006309
DB01045	C0085437
DB00443	C0030807
DB00959	C1260899
DB00169	C0020598
DB01130	C0033775
DB00305	C0017601
DB00603	C0014170
DB01059	C0032308
DB01212	C0032308
DB00051	C0406317
DB00508	C0027497
DB01380	C0079773
DB01440	C0027404
DB00227	C0003850
DB01139	C0520767
DB01017	C0024286
DB01165	C0042029
DB00515	C0919267
DB01155	C0085423
DB01183	C0412850
DB00352	C0023437
DB00887	C0003962
DB00595	C0035793
DB00776	C2711653
DB00319	C0392618
DB00418	C0021603
DB01413	C0243026
DB06817	C0019693
DB09016	C0011581
DB00091	C0026896
DB00684	C0085394
DB11596	C0002888
DB00608	C0152072
DB00603	C0398353
DB00493	C1096258
DB01165	C0041466
DB03754	C0001122
DB01324	C0027726
DB09045	C0011860
DB01053	C0006057
DB00235	C0581377
DB00624	C0034012
DB06282	C2607914
DB00607	C0038160
DB00997	C1458155
DB00860	C0026769
DB00684	C0014836
DB00921	C0019337
DB00883	C0264716
DB01330	C0000833
DB01416	C0275804
DB00368	C0006277
DB00746	C0412842
DB00016	C1998329
DB00948	C0018081
DB01326	C0276026
DB00978	C0856695
DB00331	C0011860
DB01217	C1562029
DB01597	C0004626
DB00871	C0004096
DB09481	C0151723
DB00598	C0020538
DB01238	C0338873
DB01017	C0032285
DB00586	C0085636
DB01101	C1282500
DB01216	C0033578
DB06779	C0040046
DB01001	C0006266
DB01048	C0001175
DB08885	C0271084
DB00477	C0012734
DB00719	C0343065
DB00277	C0038218
DB00741	C0001627
DB00201	C0027424
DB06151	C0006277
DB01114	C1260880
DB01150	C0006277
DB00567	C0038395
DB01234	C0042164
DB01212	C0033247
DB01008	C0032463
DB00537	C0037199
DB01017	C0032064
DB02703	C0155866
DB00238	C0001175
DB00858	C0009766
DB00254	C0041473
DB00719	C0035460
DB00950	C0018621
DB04824	C0009806
DB00595	C0006277
DB01435	C0029882
DB00859	C0019202
DB01215	C0021603
DB01611	C0031762
DB00681	C0004030
DB00218	C0033817
DB00860	C0038325
DB00701	C0019693
DB00803	C0948205
DB00033	C0018916
DB06756	C0600041
DB01234	C0014488
DB09040	C1274470
DB00635	C0001403
DB00265	C0036262
DB01137	C0155804
DB00328	C0262633
DB00635	C0242459
DB00530	C0007131
DB00493	C0155860
DB01607	C1997728
DB00334	C0338873
DB00531	C0026769
DB09073	C2316304
DB01080	C0037769
DB01377	C0426639
DB00713	C2887088
DB00624	C0151721
DB01330	C0038160
DB00218	C0155862
DB00258	C0151940
DB01330	C0343402
DB01017	C0025303
DB00959	C0004364
DB00033	C0006118
DB09321	C0033775
DB01619	C0343065
DB00916	C0085166
DB01602	C0031350
DB01225	C0149871
DB00478	C2711180
DB00051	C0010346
DB00078	C0024301
DB00970	C0027819
DB00959	C0149911
DB09485	C0237963
DB00512	C0456103
DB01331	C2242472
