Drug	Disease
ceftazidime	C0085437
ceftazidime	C0027947
ceftazidime	C0004626
ceftazidime	C0033700
ceftazidime	C0033817
ceftazidime	C0243026
ceftazidime	C0085394
ceftazidime	C0162627
ceftazidime	C0149778
ceftazidime	C0038160
ceftazidime	C0038395
ceftazidime	C0042029
ceftizoxime	C0001139
ceftizoxime	C0004669
ceftizoxime	C0005943
ceftizoxime	C0014836
ceftizoxime	C0018081
ceftizoxime	C0018482
ceftizoxime	C0022729
ceftizoxime	C0004626
ceftizoxime	C0033700
ceftizoxime	C0243026
ceftizoxime	C0085394
ceftizoxime	C0162627
ceftizoxime	C0149778
ceftizoxime	C0038160
ceftizoxime	C0038395
ceftizoxime	C0042029
ceftriaxone	C0005943
ceftriaxone	C0007947
ceftriaxone	C0014335
ceftriaxone	C0014534
ceftriaxone	C0014836
ceftriaxone	C0018081
ceftriaxone	C0022729
ceftriaxone	C0024198
ceftriaxone	C0085437
ceftriaxone	C0029882
ceftriaxone	C0031154
ceftriaxone	C0004626
ceftriaxone	C0033247
ceftriaxone	C0033700
ceftriaxone	C0036117
ceftriaxone	C0243026
ceftriaxone	C0162627
ceftriaxone	C0149778
ceftriaxone	C0038160
ceftriaxone	C0038395
ceftriaxone	C0042029
cefuroxime	C0005943
cefuroxime	C0014836
cefuroxime	C0018081
cefuroxime	C0018482
cefuroxime	C0021099
cefuroxime	C0022729
cefuroxime	C0024198
cefuroxime	C0031350
cefuroxime	C0004626
cefuroxime	C0033700
cefuroxime	C0037199
cefuroxime	C0149778
cefuroxime	C0038941
cefuroxime	C0042029
cephalexin	C0005660
cephalexin	C0014836
cephalexin	C0022729
cephalexin	C0031350
cephalexin	C0004626
cephalexin	C0033700
cephalexin	C0162627
cephalexin	C0149778
cephalexin	C0038160
cephalexin	C0038395
cephalexin	C0038941
cephalexin	C0042029
cephalothin	C0014836
cephalothin	C0022729
cephalothin	C0033700
cephalothin	C0035243
cephalothin	C0162627
cephalothin	C0149778
cephalothin	C0038160
cephalothin	C0038395
cephalothin	C0042029
cephapirin	C0014836
cephapirin	C0022729
cephapirin	C0033700
cephapirin	C0035243
cephapirin	C0162627
cephapirin	C0149778
cephapirin	C0038160
cephapirin	C0038395
cephapirin	C0042029
cephradine	C0014836
cephradine	C0022729
cephradine	C0033700
cephradine	C0035243
cephradine	C0162627
cephradine	C0149778
cephradine	C0038160
cephradine	C0038395
cephradine	C0042029
cetirizine	C0035457
cetirizine	C0042109
chlorambucil	C1458155
chlorambucil	C0008497
chlorambucil	C0019829
chlorambucil	C0023434
chlorambucil	C0024305
chlorambucil	C0919267
chlorambucil	C0039590
chlorambucil	C0836924
chlorambucil	C0024419
chloramphenicol	C0004669
chloramphenicol	C0015404
chloramphenicol	C0018482
chloramphenicol	C0025294
chloramphenicol	C0029878
chloramphenicol	C0035585
chloramphenicol	C0036117
chloramphenicol	C0038395
chloroquine	C0002438
chloroquine	C0003873
chloroquine	C0024138
chloroquine	C0024533
chloroquine	C0024535
chloroquine	C0030807
chloroquine	C0036421
chlorothiazide	C0013604
chlorothiazide	C0018802
chlorothiazide	C0020538
chlorothiazide	C0027726
chlorotrianisene	C0020619
chlorotrianisene	C0025322
chlorotrianisene	C0033578
chlorpheniramine	C0004096
chlorpheniramine	C0035457
chlorpheniramine	C0042109
chlorpromazine	C0003469
chlorpromazine	C0236964
chlorpromazine	C0019521
chlorpromazine	C0027497
chlorpromazine	C0162565
chlorpromazine	C0033975
chlorpromazine	C0036341
chlorpromazine	C0039614
chlorpromazine	C0042963
chlorpropamide	C0011860
chlorprothixene	C0033975
chlorprothixene	C0036349
chlorthalidone	C0013604
chlorthalidone	C0018802
chlorthalidone	C0020538
chlorthalidone	C0027726
chlorzoxazone	C0026821
chlorzoxazone	C0026837
chlorzoxazone	C0027121
chlorzoxazone	C0030193
chlorzoxazone	C0037763
cidofovir	C0162526
cidofovir	C0206178
cilastatin	C0004623
cimetidine	C0013295
cimetidine	C0013395
cimetidine	C0014869
cimetidine	C0017168
cimetidine	C0018834
cimetidine	C0079487
cimetidine	C0038358
cimetidine	C0042109
cimetidine	C0043515
cinoxacin	C0042029
ciprofloxacin	C0003175
ciprofloxacin	C0004669
ciprofloxacin	C0006818
ciprofloxacin	C0009768
ciprofloxacin	C0010692
ciprofloxacin	C0013369
ciprofloxacin	C0014836
ciprofloxacin	C0015967
ciprofloxacin	C0018081
ciprofloxacin	C0018482
ciprofloxacin	C0022729
ciprofloxacin	C0027947
ciprofloxacin	C0029443
ciprofloxacin	C0033581
ciprofloxacin	C0033700
ciprofloxacin	C0033817
ciprofloxacin	C0037199
ciprofloxacin	C0162627
ciprofloxacin	C0038160
ciprofloxacin	C0041466
ciprofloxacin	C0042029
cisplatin	C0004114
cisplatin	C1458155
cisplatin	C0262584
cisplatin	C0014859
cisplatin	C0019829
cisplatin	C0024121
cisplatin	C0024305
cisplatin	C0206735
cisplatin	C0206680
cisplatin	C0026764
cisplatin	C0027819
cisplatin	C0029463
cisplatin	C0919267
cisplatin	C0033578
cisplatin	C0038356
cisplatin	C0039590
cisplatin	C0005695
citalopram	C0001973
citalopram	C0497327
citalopram	C0011581
citalopram	C0011882
citalopram	C0028768
citalopram	C0040336
cladribine	C0023443
cladribine	C0023434
cladribine	C0024305
cladribine	C0026769
clemastine	C0035457
clemastine	C0042109
clindamycin	C0001144
clindamycin	C0001255
clindamycin	C0004669
clindamycin	C0032305
clindamycin	C0038160
clindamycin	C0038395
clindamycin	C0040558
clindamycin	C0085166
clobetasol	C0011603
clobetasol	C0015456
clobetasol	C0016509
clobetasol	C0018567
clobetasol	C0021368
clobetasol	C0023219
clobetasol	C0036271
clofazimine	C0023346
clofazimine	C0023348
clofazimine	C0026916
clofazimine	C0085652
clofibrate	C1956346
clofibrate	C0020443
clofibrate	C0020476
clofibrate	C0020557
clomiphene	C0021361
clomiphene	C0021364
clomipramine	C0011581
clomipramine	C0028768
clomipramine	C0030193
clomipramine	C0030319
clonidine	C0751865
clonidine	C1263846
clonidine	C0011991
clonidine	C0013390
clonidine	C0017601
clonidine	C0600142
clonidine	C0020538
clonidine	C0026838
clonidine	C0027412
clonidine	C0030200
clonidine	C0037036
clonidine	C0038587
clonidine	C0040517
clotrimazole	C0006846
clotrimazole	C0006849
clotrimazole	C0700345
cloxacillin	C0007642
cloxacillin	C0022408
cloxacillin	C0029443
cloxacillin	C0004626
cloxacillin	C0032787
cloxacillin	C0038166
cloxacillin	C0042029
cloxacillin	C0043241
clozapine	C0005586
clozapine	C0033975
clozapine	C0036341
colchicine	C0002726
colchicine	C0031069
colchicine	C0018099
colchicine	C0023892
cromolyn	C0004096
cromolyn	C0006266
cromolyn	C0009763
cromolyn	C0016470
cromolyn	C0021390
cromolyn	C0024899
cromolyn	C0035457
cyclacillin	C0018482
cyclacillin	C0032269
cyclacillin	C0035243
cyclacillin	C0038160
cyclacillin	C0042029
cyclizine	C0027497
cyclizine	C0042963
cyclophosphamide	C0002880
cyclophosphamide	C1458155
cyclophosphamide	C0006413
cyclophosphamide	C0014170
cyclophosphamide	C0019114
cyclophosphamide	C0019829
cyclophosphamide	C0023434
cyclophosphamide	C0023473
cyclophosphamide	C0023467
cyclophosphamide	C0024121
cyclophosphamide	C0024143
cyclophosphamide	C0026764
cyclophosphamide	C0026769
cyclophosphamide	C0026896
cyclophosphamide	C0026948
cyclophosphamide	C0027726
cyclophosphamide	C0027819
cyclophosphamide	C0919267
cyclophosphamide	C1961102
cyclophosphamide	C0043117
cyclophosphamide	C0034902
cyclophosphamide	C0035335
cyclophosphamide	C0035412
cyclophosphamide	C0035435
cyclophosphamide	C0553580
cyclophosphamide	C0039590
cyclophosphamide	C0024419
cyclophosphamide	C0043092
cycloserine	C0017205
cycloserine	C0041296
cyproheptadine	C0005747
cyproheptadine	C0009088
cyproheptadine	C0013384
cyproheptadine	C0027577
cyproheptadine	C0037771
cyproheptadine	C0033774
cyproheptadine	C0035457
cyproheptadine	C0036341
cyproheptadine	C0042109
cysteamine	C0010690
cytarabine	C0023418
cytarabine	C0024299
cytarabine	C0025284
dacarbazine	C1328479
dacarbazine	C0206693
dacarbazine	C0016057
dacarbazine	C0019829
dacarbazine	C0025202
dacarbazine	C0027819
dacarbazine	C0035412
dactinomycin	C0008497
dactinomycin	C0025202
dactinomycin	C0027819
dactinomycin	C0035335
dactinomycin	C0035412
dactinomycin	C0553580
dactinomycin	C0036220
dactinomycin	C0037579
dactinomycin	C0039590
dactinomycin	C0042138
danazol	C0013604
danazol	C0014175
danazol	C0016034
dantrolene	C0007785
dantrolene	C0007789
dantrolene	C0024591
dantrolene	C0026769
dantrolene	C0026838
dantrolene	C0027849
dantrolene	C0037929
dapsone	C0162526
dapsone	C0011608
dapsone	C0023348
dapsone	C0032453
daunorubicin	C0023467
daunorubicin	C1961102
delavirdine	C0001175
demecarium	C0017605
demecarium	C0038379
demeclocycline	C0001144
demeclocycline	C0018081
demeclocycline	C0085426
demeclocycline	C0021141
demeclocycline	C0042029
demeclocycline	C0043167
desipramine	C1263846
desipramine	C0011581
desipramine	C0030193
desipramine	C0236969
desogestrel	C0001144
desogestrel	C0014175
desogestrel	C0025345
desonide	C0015456
desonide	C0016509
desonide	C0018567
desonide	C0021368
desonide	C0023219
desonide	C0036271
desoximetasone	C0015456
desoximetasone	C0016509
desoximetasone	C0018567
desoximetasone	C0021368
desoximetasone	C0023219
desoximetasone	C0036271
dexamethasone	C0001403
dexamethasone	C0004096
dexamethasone	C1527311
dexamethasone	C0018939
dexamethasone	C0027497
dexamethasone	C0027651
dexamethasone	C0035457
dexamethasone	C0036983
dexamethasone	C0042963
dexmedetomidine	C0030193
dexmedetomidine	C0085631
dexrazoxane	C1458155
dextromethorphan	C0004096
dextromethorphan	C0010200
diazoxide	C0020540
diazoxide	C0020615
dibucaine	C0030193
dibucaine	C0033774
dichlorphenamide	C0017601
diclofenac	C0553662
diclofenac	C0013390
diclofenac	C0021368
diclofenac	C0022593
diclofenac	C0029408
diclofenac	C0085636
diclofenac	C0038013
dicloxacillin	C0007642
dicloxacillin	C0029443
dicloxacillin	C0004626
dicloxacillin	C0032787
dicloxacillin	C0149778
dicloxacillin	C0038166
dicloxacillin	C0042029
dicloxacillin	C0043241
dicumarol	C0034065
dicumarol	C0040038
dicumarol	C0042487
dicyclomine	C0017178
didanosine	C0001175
diethylstilbestrol	C1458155
diethylstilbestrol	C0007097
diethylstilbestrol	C0033578
diflorasone	C0015456
diflorasone	C0016509
diflorasone	C0018567
diflorasone	C0021368
diflorasone	C0023219
diflorasone	C0033774
diflorasone	C0036271
diflunisal	C0003873
diflunisal	C0029408
diflunisal	C0030193
digitoxin	C0004238
digitoxin	C0004239
digitoxin	C0007166
digitoxin	C0018802
digitoxin	C0036980
digitoxin	C0039240
digoxin	C0004238
digoxin	C0004239
digoxin	C0007166
digoxin	C0018802
digoxin	C0036980
digoxin	C0039240
dihematoporphyrin ether	C0006264
dihematoporphyrin ether	C0014859
dihydroergotamine	C0009088
dihydroergotamine	C0020651
dihydroergotamine	C0032797
dihydroergotamine	C0043352
dihydrotachysterol	C0020502
dihydrotachysterol	C0020598
dihydrotachysterol	C0022661
diltiazem	C0002963
diltiazem	C0004238
diltiazem	C0004239
diltiazem	C0020538
diltiazem	C0027051
diltiazem	C0039240
dimenhydrinate	C0026603
dimenhydrinate	C0027497
dimenhydrinate	C0042571
dimenhydrinate	C0042963
dinoprostone	C0000786
dinoprostone	C0042138
diphenhydramine	C0003469
diphenhydramine	C0026603
diphenhydramine	C0027497
diphenhydramine	C0035457
diphenhydramine	C0021603
diphenhydramine	C0042109
dipivefrin	C0017612
disopyramide	C0004238
disopyramide	C0004239
disopyramide	C0151636
disulfiram	C0001973
dobutamine	C0007166
dolasetron	C0027497
dolasetron	C0042963
dopamine	C0428977
dopamine	C0007166
dopamine	C0018794
dopamine	C0022658
dopamine	C0036974
doxazosin	C0020538
doxazosin	C2937421
doxazosin	C0080274
doxepin	C0003469
doxepin	C0011581
doxepin	C0011615
doxepin	C0030193
doxepin	C0033774
doxorubicin	C1458155
doxorubicin	C0017185
doxorubicin	C0023418
doxorubicin	C0023903
doxorubicin	C0024121
doxorubicin	C0024299
doxorubicin	C0025500
doxorubicin	C0026764
doxorubicin	C0027819
doxorubicin	C0919267
doxorubicin	C0030297
doxorubicin	C0033578
doxorubicin	C1261473
doxorubicin	C0039590
doxorubicin	C0040136
doxorubicin	C0005695
doxorubicin	C0042138
doxycycline	C0003175
doxycycline	C0008149
doxycycline	C0026936
doxycycline	C0032227
doxycycline	C0004626
doxycycline	C0035585
doxycycline	C0039128
doxylamine	C0018681
doxylamine	C0035457
doxylamine	C0021603
droperidol	C0030193
droperidol	C0033975
dutasteride	C2937421
dyphylline	C0004096
echothiophate	C0014877
echothiophate	C0017605
echothiophate	C0017612
econazole	C0006846
econazole	C0040259
econazole	C0040262
edrophonium	C0000771
edrophonium	C0013221
enalapril	C0003873
enalapril	C0004775
enalapril	C0011881
enalapril	C0013604
enalapril	C0018802
enalapril	C0020540
enalapril	C0242698
enflurane	C0038218
enflurane	C0151636
enoxacin	C0014836
enoxacin	C0018081
enoxacin	C0018482
enoxacin	C0022729
enoxacin	C0033700
enoxacin	C0033817
enoxacin	C0038160
enoxacin	C0042029
enoxaparin	C0002965
enoxaparin	C0027051
enoxaparin	C0032787
enoxaparin	C0034065
enoxaparin	C0040038
enoxaparin	C0040046
ephedrine	C0004096
ephedrine	C0006266
ephedrine	C0020651
ephedrine	C0035455
epinephrine	C0001883
epinephrine	C0002792
epinephrine	C0004096
epinephrine	C0428977
epinephrine	C0006266
epinephrine	C0017612
epinephrine	C0018790
epinephrine	C0018794
epinephrine	C0020649
epinephrine	C0036983
epinephrine	C0042514
epinephrine	C0042510
epirubicin	C1458155
epoprostenol	C0003850
epoprostenol	C0020542
epoprostenol	C0085096
epoprostenol	C0034150
epoprostenol	C0035222
epoprostenol	C0036421
ergotamine	C0009088
ergotamine	C0032797
erythrityl tetranitrate	C0002962
erythromycin	C0001144
erythromycin	C0006818
erythromycin	C0007947
erythromycin	C0008149
erythromycin	C0014752
erythromycin	C0015404
erythromycin	C0017160
erythromycin	C0018081
erythromycin	C0023241
erythromycin	C0026936
erythromycin	C0038160
erythromycin	C0038395
erythromycin	C0039128
erythromycin	C0041976
erythromycin	C0043167
escitalopram	C0011581
esomeprazole	C0013295
esomeprazole	C0014868
esomeprazole	C0017168
esomeprazole	C0018834
esomeprazole	C0079487
estradiol	C1458155
estradiol	C0600142
estradiol	C0020619
estradiol	C0025322
estradiol	C0025323
estradiol	C0085215
estradiol	C0033578
estramustine	C0033578
estrogens	C1458155
estrogens	C0600142
estrogens	C0020619
estrogens	C0025322
estrogens	C0025323
estrogens	C0085215
estrogens	C0033578
estrone	C1458155
estrone	C0600142
estrone	C0020619
estrone	C0025322
estrone	C0025323
estrone	C0085215
estrone	C0033578
ethacrynic acid	C0003962
ethacrynic acid	C0013604
ethacrynic acid	C0018802
ethacrynic acid	C0020538
ethacrynic acid	C0022660
ethacrynic acid	C0022661
ethacrynic acid	C0023890
ethacrynic acid	C0027726
ethacrynic acid	C0034063
ethambutol	C0026919
ethambutol	C0041296
ethanol	C0001144
ethanol	C0458219
ethanol	C0036508
ethanol	C0020458
ethanol	C0033860
ethanol	C0036271
ethanol	C0043037
ethinyl estradiol	C1458155
ethinyl estradiol	C0600142
ethinyl estradiol	C0020619
ethinyl estradiol	C0025322
ethinyl estradiol	C0025323
ethinyl estradiol	C0085215
ethinyl estradiol	C0033578
ethionamide	C0041296
ethosuximide	C0014553
ethotoin	C0036572
etodolac	C0003873
etodolac	C0029408
etodolac	C0030193
etomidate	C0007786
etomidate	C0085094
etomidate	C0030193
etomidate	C0038220
etoposide	C0006118
etoposide	C0019618
etoposide	C0023434
etoposide	C0023467
etoposide	C0024121
etoposide	C0026948
etoposide	C0027819
etoposide	C0033578
etoposide	C0035412
etoposide	C0553580
etoposide	C0036220
etoposide	C0039590
etoposide	C0041182
etoposide	C0005695
etoposide	C0042138
famotidine	C0013295
famotidine	C0013395
famotidine	C0014869
famotidine	C0017168
famotidine	C0018834
famotidine	C0079487
famotidine	C0038358
famotidine	C0042109
famotidine	C0043515
felodipine	C0002963
felodipine	C0020538
fenofibrate	C1956346
fenofibrate	C0020443
fenofibrate	C0020476
fenofibrate	C0020557
fenoldopam	C0018802
fenoldopam	C0020540
fenoldopam	C0020545
fenoprofen	C0003873
fenoprofen	C0029408
fenoprofen	C0030193
finasteride	C0002170
finasteride	C0019572
finasteride	C2937421
finasteride	C0033578
flavoxate	C0042024
flecainide	C0042514
floxuridine	C0009404
floxuridine	C0038356
fluconazole	C0162526
fluconazole	C0005716
fluconazole	C0006845
fluconazole	C0006849
fluconazole	C0700345
fluconazole	C0009186
fluconazole	C0085082
fluconazole	C0019655
fluconazole	C0085436
flucytosine	C0162526
flucytosine	C0004030
flucytosine	C0006840
flucytosine	C0008582
flucytosine	C0024116
flucytosine	C0085436
fludrocortisone	C0001403
fludrocortisone	C0001622
flumazenil	C0013221
flumazenil	C0029944
fluocinonide	C0021368
fluocinonide	C0033774
fluorometholone	C0021368
fluorouracil	C1458155
fluorouracil	C0007117
fluorouracil	C0009375
fluorouracil	C0018671
fluorouracil	C0022593
fluorouracil	C0030297
fluorouracil	C0034885
fluorouracil	C0038356
fluoxetine	C0006370
fluoxetine	C0011581
fluoxetine	C0028768
fluoxetine	C0030319
fluphenazine	C0033975
fluphenazine	C0036341
flurandrenolide	C0015456
flurandrenolide	C0016509
flurandrenolide	C0018567
flurandrenolide	C0021368
flurandrenolide	C0023219
flurbiprofen	C0003873
flurbiprofen	C0021368
flurbiprofen	C0024440
flurbiprofen	C0026205
flurbiprofen	C0029408
flutamide	C0019572
flutamide	C0033578
fluvoxamine	C0011581
