#,context,disease_name,drug_name,workers_answers,medical_expert1,medical_expert2,medical_expert3,do_id,drug_brand_name,drug_id,label_id,sheet,expert_consensus,inter_agree_experts,medical_expert4,"Final 
(closest option)"
15.0,"['\n                     ', 'Hypertension', 'Quinapril hydrochloride tablets are indicated for the treatment of hypertension. It may be used alone or in combination with thiazide diuretics.', 'In using quinapril hydrochloride tablets, consideration should be given to the fact that another angiotensin-converting enzyme inhibitor, captopril, has caused agranulocytosis, particularly in patients with renal impairment or collagen vascular disease. Available data are insufficient to show that quinapril hydrochloride tablets do not have a similar risk (see ', 'WARNINGS', '\n                     ', 'Angioedema in Black Patients', 'Black patients receiving ACE inhibitor monotherapy have been reported to have a higher incidence of angioedema compared to non-blacks. It should also be noted that in controlled clinical trials ACE inhibitors have an effect on blood pressure that is less in black patients than in non-blacks.', None]",HYPERTENSION,QUINAPRIL,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,Indication: Treatment,DOID_10763,,DB00881,461bf92c-0ad0-4e99-8542-6dc6bfbde5f1.xml,Indication_treatment,Indication: Treatment,3,,
16.0,"Chlorothiazide is indicated as adjunctive therapy in edema associated with congestive heart failure, hepatic cirrhosis, and corticosteroid and estrogen therapy.
Chlorothiazide has also been found useful in edema due to various forms of renal dysfunction such as nephrotic syndrome, acute glomerulonephritis, and chronic renal failure.
Chlorothiazide is indicated in the management of hypertension either as the sole therapeutic agent or to enhance the effectiveness of other antihypertensive drugs in the more severe forms of hypertension.
Routine use of diuretics during normal pregnancy is inappropriate and exposes mother and fetus to unnecessary hazard. Diuretics do not prevent development of toxemia of pregnancy and there is no satisfactory evidence that they are useful in the treatment of toxemia.
Edema during pregnancy may arise from pathologic causes or from the physiologic and mechanical consequences of pregnancy. Thiazides are indicated in pregnancy when edema is due to pathologic causes, just as they are in the absence of pregnancy (see 
PRECAUTIONS: Pregnancy",HYPERTENSION,CHLOROTHIAZIDE,"indication_treatment
indication_treatment
contraindication",Indication: Treatment,Indication: Treatment,Indication: Treatment,DOID_10763,,DB00880,2af0405e-71c2-4074-bbd2-41ef19697dd0.xml,Indication_treatment,Indication: Treatment,3,,
17.0,"Fosinopril sodium tablets are indicated for the treatment of hypertension. It may be used alone or in combination with thiazide diuretics.
Fosinopril sodium tablets are indicated in the management of heart failure as adjunctive therapy when added to conventional therapy including diuretics with or without digitalis (see 

                        
DOSAGE AND ADMINISTRATION
In using fosinopril sodium, consideration should be given to the fact that another angiotensin converting enzyme inhibitor, captopril, has caused agranulocytosis, particularly in patients with renal impairment or collagen-vascular disease. Available data are insufficient to show that fosinopril sodium does not have a similar risk (see 

                        
WARNINGS
In considering use of fosinopril sodium, it should be noted that in controlled trials ACE inhibitors have an effect on blood pressure that is less in black patients than in non- blacks. In addition, ACE inhibitors (for which adequate data are available) cause a higher rate of angioedema in black than in non-black patients (see 

                        
WARNINGS
: 

                        
Head and Neck Angioedema
 and 

                        
Intestinal Angioedema",HYPERTENSION,FOSINOPRIL,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,IDK,DOID_10763,,DB00492,29914956-c794-4806-b038-f0784b9db3d3.xml,Indication_treatment,Indication: Treatment,2,Indication: Treatment,
18.0,"Methyclothiazide tablets are indicated in the management of hypertension either as the sole therapeutic agent or to enhance the effect of other antihypertensive drugs in the more severe forms of hypertension.
Methyclothiazide tablets are indicated as adjunctive therapy in edema associated with congestive heart failure, hepatic cirrhosis, and corticosteroid and estrogen therapy.
Methyclothiazide tablets have also been found useful in edema due to various forms of renal dysfunction such as the nephrotic syndrome, acute glomerulonephritis, and chronic renal failure.
The routine use of diuretics in an otherwise healthy pregnant woman is inappropriate and exposes mother and fetus to unnecessary hazard. Diuretics do not prevent development of toxemia of pregnancy, and there is no satisfactory evidence that they are useful in the treatment of developed toxemia.
Edema during pregnancy may arise from pathological causes or from the physiological and mechanical consequences of pregnancy. Thiazides are indicated in pregnancy when edema is due to pathological causes, just as they are in the absence of pregnancy (see 
PRECAUTIONS: Pregnancy",HYPERTENSION,METHYCLOTHIAZIDE,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,Indication: Treatment,DOID_10763,,DB00232,41d6b92e-b9f4-4bcf-9f66-9a36c8e79181.xml,Indication_treatment,Indication: Treatment,3,,
19.0,"['\n                     ', '1.1 Supraventricular Tachycardia or Noncompensatory Sinus Tachycardia', 'Esmolol hydrochloride injection is indicated for the rapid control of ventricular rate in patients with atrial fibrillation or atrial flutter in perioperative, postoperative, or other emergent circumstances where short term control of ventricular rate with a short-acting agent is desirable. Esmolol hydrochloride injection is also indicated in noncompensatory sinus tachycardia where, in the physician‰Ûªs judgment, the rapid heart rate requires specific intervention. Esmolol hydrochloride injection is intended for short-term use.', '\n                     ', '1.2 Intraoperative and Postoperative Tachycardia and Hypertension', 'Esmolol hydrochloride injection is indicated for the short-term treatment of tachycardia and hypertension that occur during induction and tracheal intubation, during surgery, on emergence from anesthesia and in the postoperative period, when in the physician‰Ûªs judgment such specific intervention is considered indicated.', None, None, 'Esmolol hydrochloride injection is a beta adrenergic blocker indicated for the short-term treatment of:', '\n                           ', 'Control of ventricular rate in supraventricular tachycardia including atrial fibrillation and atrial flutter and control of heart rate in noncompensatory sinus tachycardia\xa0(1.1)', 'Control of perioperative tachycardia and hypertension\xa0(1.2)']",HYPERTENSION,ESMOLOL,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,IDK,DOID_10763,,DB00187,e296498d-530b-4346-af09-43008d65c46a.xml,Indication_treatment,Indication: Treatment,2,Indication: Treatment,
21.0,"['Carvedilol is an alpha/beta-adrenergic blocking agent indicated for the treatment of:\xa0 ', '\n                           ', 'mild to severe chronic heart failure (\n          \n  \n     ', '1.1', 'left ventricular dysfunction following myocardial infarction in clinically stable patients \n          \n  \n     ', '(1.2)', 'hypertension \n          \n  \n     ', '(1.3)', 'Carvedilol tablets are indicated for the treatment of mild-to-severe chronic heart failure of ischemic or cardiomyopathic origin, usually in addition to diuretics, ACE inhibitors, and digitalis, to increase survival and, also, to reduce the risk of hospitalization \n         \n \n  ', '[see\xa0', '\n                              ', 'Drug Interactions (7.4)', ' and ', '\n                              ', 'Clinical Studies (14.1)', ']', None, 'Carvedilol tablets are indicated to reduce cardiovascular mortality in clinically stable patients who have survived the acute phase of a myocardial infarction and have a left ventricular ejection fraction of less than or equal to 40% (with or without symptomatic heart failure) \n         \n \n  ', '[see \n          \n  \n   ', 'Clinical Studies (14.2)', None, 'Carvedilol tablets are indicated for the management of essential hypertension \n         \n \n  ', '[see \n          \n  \n   ', 'Clinical Studies (14.3', '14.4)', '[see \n          \n  \n   ', 'Drug Interactions (7.2)']",HYPERTENSION,CARVEDILOL,"indication_treatment
indication_treatment
i_dont_know",Indication: Treatment,Indication: Treatment,IDK,DOID_10763,,DB01136,674ef26b-f8c1-2373-e053-2991aa0a20f6.xml,Indication_treatment,Indication: Treatment,2,Indication: Treatment,
22.0,"
                     
Stable Coronary Artery Disease
Perindopril erbumine tablets are indicated in patients with stable coronary artery disease to reduce the risk of cardiovascular mortality or non-fatal myocardial infarction. Perindopril erbumine tablets can be used with conventional treatment for management of coronary artery disease, such as antiplatelet, antihypertensive or lipid-lowering therapy. 

                     
Hypertension 
Perindopril erbumine tablets are indicated for the treatment of patients with essential hypertension. Perindopril erbumine tablets may be used alone or given with other classes of antihypertensives, especially thiazide diuretics. 
When using perindopril erbumine tablets, consideration should be given to the fact that another angiotensin converting enzyme inhibitor (captopril) has caused agranulocytosis, particularly in patients with renal impairment or collagen vascular disease. Available data are insufficient to determine whether perindopril erbumine tablets has a similar potential. (See 

                        
WARNINGS
In considering use of perindopril erbumine tablets, it should be noted that in controlled trials ACE inhibitors have an effect on blood pressure that is less in black patients than in nonblacks. In addition, it should be noted that black patients receiving ACE inhibitor monotherapy have been reported to have a higher incidence of angioedema compared to nonblacks. (See 

                        
WARNINGS

                           
Head and Neck Angioedema",HYPERTENSION,PERINDOPRIL,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,IDK,DOID_10763,,DB00790,fbb31482-9ac8-48c6-b814-5d467f22051b.xml,Indication_treatment,Indication: Treatment,2,Indication: Treatment,
23.0,"Ramipril capsules are indicated in patients 55 years or older at high risk of developing a major cardiovascular event because of a history of coronary artery disease, stroke, peripheral vascular disease, or diabetes that is accompanied by at least one other cardiovascular risk factor (hypertension, elevated total cholesterol levels, low HDL levels, cigarette smoking, or documented microalbuminuria), to reduce the risk of myocardial infarction, stroke, or death from cardiovascular causes. Ramipril capsules can be used in addition to other needed treatment (such as antihypertensive, antiplatelet or lipid-lowering therapy). 
Ramipril capsules are indicated for the treatment of hypertension. It may be used alone or in combination with thiazide diuretics. 
In using ramipril capsules, consideration should be given to the fact that another angiotensin converting enzyme inhibitor, captopril, has caused agranulocytosis, particularly in patients with renal impairment or collagen-vascular disease. Available data are insufficient to show that ramipril capsules do not have a similar risk. (See 
WARNINGS.
In considering use of ramipril capsules, it should be noted that in controlled trials ACE inhibitors have an effect on blood pressure that is less in black patients than in non-blacks. In addition, ACE inhibitors (for which adequate data are available) cause a higher rate of angioedema in black than in non-black patients. (See 
WARNINGS, Angioedema.",HYPERTENSION,ramipril,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,IDK,DOID_10763,,DB00178,00bdb48f-8b8f-4cc5-bb63-77213f2279cb.xml,Indication_treatment,Indication: Treatment,2,Indication: Treatment,
24.0,"Indapamide tablets are indicated for the treatment of hypertension, alone or in combination with other antihypertensive drugs.
Indapamide tablets are also indicated for the treatment of salt and fluid retention associated with congestive heart failure.
The routine use of diuretics in an otherwise healthy woman is inappropriate and exposes mother and fetus to unnecessary hazard (see below).
                                    
PRECAUTIONS
Diuretics do not prevent development of toxemia of pregnancy, and there is no satisfactory evidence that they are useful in the treatment of developed toxemia.
Edema during pregnancy may arise from pathological causes or from the physiologic and mechanical consequences of pregnancy. Indapamide is indicated in pregnancy when edema is due to pathologic causes, just as it is in the absence of pregnancy (however, see below). Dependent edema in pregnancy, resulting from restriction of venous return by the expanded uterus, is properly treated through elevation of the lower extremities and use of support hose; use of diuretics to lower intravascular volume in this case is illogical and unnecessary. There is hypervolemia during normal pregnancy which is not harmful to either the fetus or the mother (in the absence of cardiovascular disease), but which is associated with edema, including generalized edema in the majority of pregnant women. If this edema produces discomfort, increased recumbency will often provide relief. In rare instances, this edema may cause extreme discomfort which is not relieved by rest. In these cases, a short course of diuretics may provide relief and may be appropriate.
                                    
PRECAUTIONS",HYPERTENSION,INDAPAMIDE,"indication_treatment
contraindication
indication_treatment",Indication: Treatment,Indication: Treatment,IDK,DOID_10763,,DB00808,d94dd02c-a6c6-4f35-b663-c9bd335fd478.xml,Indication_treatment,Indication: Treatment,2,Indication: Treatment,
25.0,"[None, 'Enalapril maleate is indicated for the treatment of hypertension. ', None, 'Enalapril maleate is effective alone or in combination with other antihypertensive agents, especially thiazide-type diuretics. The blood pressure lowering effects of enalapril maleate and thiazides are approximately additive.', 'Enalapril maleate is indicated for the treatment of symptomatic congestive heart failure, usually in combination with diuretics and digitalis. In these patients enalapril maleate improves symptoms, increases survival, and decreases the frequency of hospitalization (see CLINICAL PHARMACOLOGY, ', '\n                           ', 'Heart Failure, Mortality Trials', ' for details and limitations of survival trials).', 'In clinically stable asymptomatic patients with left ventricular dysfunction (ejection fraction ‰ä_35 percent), enalapril maleate decreases the rate of development of overt heart failure and decreases the incidence of hospitalization for heart failure. (See CLINICAL PHARMACOLOGY, ', '\n                           ', 'Heart Failure, Mortality Trials', ' for details and limitations of survival trials.)', None, None, 'In using enalapril maleate, consideration should be given to the fact that another angiotensin converting enzyme inhibitor, captopril, has caused agranulocytosis, particularly in patients with renal impairment or collagen vascular disease, and that available data are insufficient to show that enalapril maleate does not have a similar risk. (See WARNINGS.)', None, None, 'In considering use of enalapril maleate, it should be noted that in controlled clinical trials ACE inhibitors have an effect on blood pressure that is less in black patients than in non-blacks. In addition, it should be noted that black patients receiving ACE inhibitors have been reported to have a higher incidence of angioedema compared to non-blacks. (See WARNINGS, ', '\n                           ', 'Head and Neck Angioedema', '.)']",HYPERTENSION,ENALAPRIL,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,IDK,DOID_10763,,DB00584,53ac99fe-8ff3-4a6f-b90e-d602e1019acb.xml,Indication_treatment,Indication: Treatment,2,Indication: Treatment,
26.0,"Hydrochlorothiazide Tablets are indicated as adjunctive therapy in edema associated with congestive heart failure, hepatic cirrhosis, and corticosteroid and estrogen therapy. Hydrochlorothiazide Tablets have also been found useful in edema due to various forms of renal dysfunction such as nephrotic syndrome, acute glomerulonephritis, and chronic renal failure.
Hydrochlorothiazide Tablets are indicated in the management of hypertension either as the sole therapeutic agent or to enhance the effectiveness of other antihypertensive drugs in the more severe forms of hypertension.
Use in pregnancy:
Routine use of diuretics during normal pregnancy is inappropriate and exposes mother and fetus to unnecessary hazard. Diuretics do not prevent development of toxemia of pregnancy and there is no satisfactory evidence that they are useful in the treatment of toxemia.
Edema during pregnancy may arise from pathologic causes or from the physiologic and mechanical consequences of pregnancy. Thiazides are indicated in pregnancy when edema is due to pathologic causes, just as they are in the absence of pregnancy (see PRECAUTIONS, PREGNANCY). Dependent edema in pregnancy, resulting from restriction of venous return by the gravid uterus, is properly treated through elevation of the lower extremities and use of support stockings. Use of diuretics to lower intravascular volume in this instance is illogical and unnecessary. During normal pregnancy there is hypervolemia which is not harmful to the fetus or the mother in the absence of cardiovascular disease. However, it may be associated with edema, rarely generalized edema. If such edema causes discomfort, increased recumbency will often provide relief. Rarely this edema may cause extreme discomfort which is not relieved by rest. In these instances, a short course of diuretic therapy may provide relief and be appropriate.",HYPERTENSION,HYDROCHLOROTHIAZIDE,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,IDK,DOID_10763,,DB00999,414a7bf2-7435-0d18-e054-00144ff8d46c.xml,Indication_treatment,Indication: Treatment,2,Indication: Treatment,
27.0,"INNOPRAN XL

Control of high blood pressure should be part of comprehensive cardiovascular risk management, including, as appropriate, lipid control, diabetes management, antithrombotic therapy, smoking cessation, exercise, and limited sodium intake. Many patients will require more than one drug to achieve blood pressure goals. For specific advice on goals and management, see published guidelines, such as those of the National High Blood Pressure Education Program‰Ûªs Joint National Committee on Prevention, Detection, Evaluation, and Treatment of High Blood Pressure (JNC).
Numerous antihypertensive drugs, from a variety of pharmacologic classes and with different mechanisms of action, have been shown in randomized controlled trials to reduce cardiovascular morbidity and mortality, and it can be concluded that it is blood pressure reduction, and not some other pharmacologic property of the drugs, that is largely responsible for those benefits. The largest and most consistent cardiovascular outcome benefit has been a reduction in the risk of stroke, but reductions in myocardial infarction and cardiovascular mortality also have been seen regularly.
Elevated systolic or diastolic pressure causes increased cardiovascular risk, and the absolute risk increase per mmåÊHg is greater at higher blood pressures, so that even modest reductions of severe hypertension can provide substantial benefit. Relative risk reduction from blood pressure reduction is similar across populations with varying absolute risk, so the absolute benefit is greater in patients who are at higher risk independent of their hypertension (for example, patients with diabetes or hyperlipidemia), and such patients would be expected to benefit from more aggressive treatment to a lower blood pressure goal.
Some antihypertensive drugs have smaller blood pressure effects (as monotherapy) in black patients, and many antihypertensive drugs have additional approved indications and effects (e.g., on angina, heart failure, or diabetic kidney disease). These considerations may guide selection of therapy.
INNOPRAN XL is a beta adrenergic blocker indicated for the treatment of hypertension, to lower blood pressure. Lowering blood pressure reduces the risk of fatal and nonfatal cardiovascular events, primarily strokes and myocardial infarctions. (
1
Limitation of Use: INNOPRAN XL is not indicated for the treatment of hypertensive emergencies. (
1",HYPERTENSION,PROPRANOLOL,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,IDK,DOID_10763,,DB00571,8a9095b7-48a2-4920-9b5e-08a05c21d089.xml,Indication_treatment,Indication: Treatment,2,Indication: Treatment,
28.0,"Felodipine extended-release tablets, USPåÊare indicated for the treatment of hypertension, to lower blood pressure. Lowering blood pressure lowers the risk of fatal and non-fatal cardiovascular events, primarily strokes and myocardial infarctions. These benefits have been seen in controlled trials of antihypertensive drugs from a wide variety of pharmacologic classes including felodipine.
Control of high blood pressure should be part of comprehensive cardiovascular risk management, including, as appropriate, lipid control, diabetes management, antithrombotic therapy, smoking cessation, exercise, and limited sodium intake. Many patients will require more than 1 drug to achieve blood pressure goals. For specific advice on goals and management, see published guidelines, such as those of the National High Blood Pressure Education Program‰Ûªs Joint National Committee on Prevention, Detection, Evaluation, and Treatment of High Blood Pressure (JNC).
Numerous antihypertensive drugs, from a variety of pharmacologic classes and with different mechanisms of action, have been shown in randomized controlled trials to reduce cardiovascular morbidity and mortality, and it can be concluded that it is blood pressure reduction, and not some other pharmacologic property of the drugs, that is largely responsible for those benefits. The largest and most consistent cardiovascular outcome benefit has been a reduction in the risk of stroke, but reductions in myocardial infarction and cardiovascular mortality also have been seen regularly.
Elevated systolic or diastolic pressure causes increased cardiovascular risk, and the absolute risk increase per mmHg is greater at higher blood pressures, so that even modest reductions of severe hypertension can provide substantial benefit. Relative risk reduction from blood pressure reduction is similar across populations with varying absolute risk, so the absolute benefit is greater in patients who are at higher risk independent of their hypertension (for example, patients with diabetes or hyperlipidemia), and such patients would be expected to benefit from more aggressive treatment to a lower blood pressure goal.
Some antihypertensive drugs have smaller blood pressure effects (as monotherapy) in black patients, and many antihypertensive drugs have additional approved indications and effects (eg, on angina, heart failure, or diabetic kidney disease). These considerations may guide selection of therapy.
Felodipine extended-release tablets, USPåÊmay be administered with other antihypertensive agents.",HYPERTENSION,FELODIPINE,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,IDK,DOID_10763,,DB01023,6a3461ba-c842-4361-874c-4c2c0215d79e.xml,Indication_treatment,Indication: Treatment,2,Indication: Treatment,
