"id","struct_id","concept_id","relationship_name","concept_name","umls_cui","snomed_full_name","cui_semantic_type","snomed_conceptid","id-2","identifier","id_type","struct_id-2","parent_match"
173446,5282,21000727,"indication","Familial x-linked hypophosphatemic vitamin D refractory rickets","C3536984","Familial x-linked hypophosphatemic vitamin D refractory rickets","T047",82236004,1343579,"DB14012","DRUGBANK_ID",5282,NULL
173449,5283,21003511,"indication","Chemotherapy-induced nausea and vomiting","C0401160","Chemotherapy-induced nausea and vomiting","T046",236084000,1343906,"DB09048","DRUGBANK_ID",5283,True
173449,5283,21003511,"indication","Chemotherapy-induced nausea and vomiting","C0401160","Chemotherapy-induced nausea and vomiting","T046",236084000,1343581,"DB14019","DRUGBANK_ID",5283,NULL
173450,5284,21001116,"indication","Migraine","C0149931","Migraine","T047",37796009,1343589,"DB14039","DRUGBANK_ID",5284,NULL
173451,5285,21000878,"indication","Thrombocytopenic disorder","C0040034","Thrombocytopenic disorder","T033",302215000,1342723,"DB11995","DRUGBANK_ID",5285,NULL
173452,5286,21000378,"indication","Infection by Onchocerca volvulus","C0029001","Infection by Onchocerca volvulus","T047",38539003,1342581,"DB11431","DRUGBANK_ID",5286,NULL
173453,5287,21002320,"indication","Urinary tract infectious disease","C0042029","Urinary tract infectious disease","T047",68566005,1342823,"DB12615","DRUGBANK_ID",5287,NULL
173454,5288,21001089,"indication","Lennox-Gastaut syndrome","C0238111","Lennox-Gastaut syndrome","T047",230418006,1342198,"DB09061","DRUGBANK_ID",5288,NULL
173455,5288,40249082,"indication","Severe myoclonic epilepsy in infancy","C0751122","Severe myoclonic epilepsy in infancy","T047",230437002,1342198,"DB09061","DRUGBANK_ID",5288,NULL
173456,5289,21000439,"indication","Metastatic malignant melanoma","C0860594","Metastatic malignant melanoma","T191",443493003,1342661,"DB11718","DRUGBANK_ID",5289,NULL
173457,5290,21000439,"indication","Metastatic malignant melanoma","C0860594","Metastatic malignant melanoma","T191",443493003,1342715,"DB11967","DRUGBANK_ID",5290,NULL
173397,5226,21001068,"indication","Tardive dyskinesia","C0686347","Tardive dyskinesia","T047",102449007,1342752,"DB12161","DRUGBANK_ID",5226,NULL
173398,5253,21002338,"indication","Urinary tract infection caused by Klebsiella","C4076057","Urinary tract infection caused by Klebsiella","T047",NULL,1342741,"DB12107","DRUGBANK_ID",5253,NULL
173399,5253,21002327,"indication","Escherichia coli urinary tract infection","C0577708","Escherichia coli urinary tract infection","T047",301011002,1342741,"DB12107","DRUGBANK_ID",5253,NULL
173400,5256,40249311,"indication","Follicular lymphoma","C0024301","Follicular lymphoma","T191",55150002,1342809,"DB12483","DRUGBANK_ID",5256,NULL
173401,2427,21002473,"indication","Bacterial vaginosis","C0085166","Bacterial vaginosis","T047",419760006,1342851,"DB12834","DRUGBANK_ID",2427,NULL
173402,5257,40249281,"indication","Ischemic stroke","C0948008","Ischemic stroke","T047",422504002,1342838,"DB12749","DRUGBANK_ID",5257,NULL
173403,5259,21012339,"indication","Hormone receptor positive malignant neoplasm of breast","C1562029","Hormone receptor positive malignant neoplasm of breast","T191",417181009,1342726,"DB12001","DRUGBANK_ID",5259,NULL
173404,4072,21000670,"indication","Ascorbic acid deficiency","C0003969","Ascorbic acid deficiency","T047",76169001,1343960,"DB14483","DRUGBANK_ID",4072,NULL
173404,4072,21000670,"indication","Ascorbic acid deficiency","C0003969","Ascorbic acid deficiency","T047",76169001,1343959,"DB14482","DRUGBANK_ID",4072,NULL
173404,4072,21000670,"indication","Ascorbic acid deficiency","C0003969","Ascorbic acid deficiency","T047",76169001,1340209,"DB00126","DRUGBANK_ID",4072,NULL
173405,5260,21013699,"indication","Mantle cell lymphoma","C0334634","Mantle cell lymphoma","T191",443487006,1342657,"DB11703","DRUGBANK_ID",5260,NULL
173407,5261,21001205,"indication","Open-angle glaucoma","C0017612","Open-angle glaucoma","T047",84494001,1342647,"DB11660","DRUGBANK_ID",5261,NULL
173408,5261,21001204,"indication","Ocular hypertension","C0028840","Ocular hypertension","T047",4210003,1342647,"DB11660","DRUGBANK_ID",5261,NULL
173409,5262,21000206,"indication","Cytomegalovirus infection","C0010823","Cytomegalovirus infection","T047",28944009,1342735,"DB12070","DRUGBANK_ID",5262,NULL
173410,5263,21001909,"indication","Eosinophilic asthma","C1527407","Eosinophilic asthma","T047",367542003,1342731,"DB12023","DRUGBANK_ID",5263,NULL
132947,4756,21002035,"indication","Peptic ulcer","C0030920","Peptic ulcer","T047",13200003,1342310,"DB09221","DRUGBANK_ID",4756,NULL
173411,5264,40249334,"indication","Mucopolysaccharidosis, MPS-VII","C0085132","Mucopolysaccharidosis, MPS-VII","T047",43916004,1342787,"DB12366","DRUGBANK_ID",5264,NULL
173412,2413,21001770,"indication","Allergic rhinitis","C2607914","Allergic rhinitis","T047",61582004,1342621,"DB11614","DRUGBANK_ID",2413,NULL
173413,2413,21002745,"indication","Urticaria","C0042109","Urticaria","T047",126485001,1342621,"DB11614","DRUGBANK_ID",2413,NULL
173414,5265,21000848,"indication","Hereditary factor VIII deficiency disease","C0019069","Hereditary factor VIII deficiency disease","T047",28293008,1343572,"DB13998","DRUGBANK_ID",5265,NULL
173415,5267,21000594,"indication","Diabetes mellitus type 2","C0011860","Diabetes mellitus type 2","T047",44054006,1343554,"DB13928","DRUGBANK_ID",5267,NULL
173416,5268,21000848,"indication","Hereditary factor VIII deficiency disease","C0019069","Hereditary factor VIII deficiency disease","T047",28293008,1343552,"DB13923","DRUGBANK_ID",5268,NULL
173417,5058,40249109,"indication","Staphylococcal infection of skin","C0038166","Staphylococcal infection of skin","T047",402938009,1342868,"DB12924","DRUGBANK_ID",5058,NULL
173418,5266,21000171,"indication","Herpes zoster","C0019360","Herpes zoster","T047",4740000,1342656,"DB11701","DRUGBANK_ID",5266,NULL
173419,5269,21001205,"indication","Open-angle glaucoma","C0017612","Open-angle glaucoma","T047",84494001,1343555,"DB13931","DRUGBANK_ID",5269,NULL
173420,5269,21001204,"indication","Ocular hypertension","C0028840","Ocular hypertension","T047",4210003,1343555,"DB13931","DRUGBANK_ID",5269,NULL
173421,5258,21000450,"indication","Renal cell carcinoma","C0007134","Renal cell carcinoma","T191",702391001,1342682,"DB11800","DRUGBANK_ID",5258,NULL
173349,5229,21013985,"indication","Peripheral T-cell lymphoma","C0079774","Peripheral T-cell lymphoma","T191",109977009,1341768,"DB06185","DRUGBANK_ID",5229,NULL
173350,4654,21013874,"indication","Liver cell carcinoma","C2239176","Liver cell carcinoma","T191",109841003,1342052,"DB08896","DRUGBANK_ID",4654,NULL
173351,5231,21000485,"indication","Acute myeloid leukemia, disease","C0023467","Acute myeloid leukemia, disease","T191",91861009,1341842,"DB06595","DRUGBANK_ID",5231,NULL
173352,5231,40249321,"indication","Aggressive systemic mastocytosis","C1112486","Aggressive systemic mastocytosis","T191",716655008,1341842,"DB06595","DRUGBANK_ID",5231,NULL
173353,5231,40249322,"indication","Mast cell leukemia","C0023461","Mast cell leukemia","T191",110002002,1341842,"DB06595","DRUGBANK_ID",5231,NULL
173354,5230,40249323,"indication","Late-infantile neuronal ceroid lipofuscinosis","C0022340","Late-infantile neuronal ceroid lipofuscinosis","T047",14637005,1342929,"DB13173","DRUGBANK_ID",5230,NULL
173355,5232,40249324,"indication","At risk of osteoporotic fracture","C1272017","At risk of osteoporotic fracture","T033",391040000,1341701,"DB05084","DRUGBANK_ID",5232,NULL
173356,5233,21000523,"indication","Non-small cell lung cancer","C0007131","Non-small cell lung cancer","T191",254637007,1342770,"DB12267","DRUGBANK_ID",5233,NULL
173357,5234,40249066,"indication","Transitional cell carcinoma","C0007138","Transitional cell carcinoma","T191",27090000,1342660,"DB11714","DRUGBANK_ID",5234,NULL
173358,4933,21001666,"indication","Giant cell arteritis","C0039483","Giant cell arteritis","T047",414341000,1341806,"DB06273","DRUGBANK_ID",4933,NULL
173359,5235,40249325,"indication","Neurotrophic keratitis","C0339296","Neurotrophic keratitis","T047",128080005,1343553,"DB13926","DRUGBANK_ID",5235,NULL
173360,5237,21002805,"indication","Rheumatoid arthritis","C0003873","Rheumatoid arthritis","T047",69896004,1342674,"DB11767","DRUGBANK_ID",5237,NULL
173363,2449,40249284,"indication","Respiratory tract infection","C0035243","Respiratory tract infection","T047",275498002,1342989,"DB13261","DRUGBANK_ID",2449,NULL
173365,2449,21002320,"indication","Urinary tract infectious disease","C0042029","Urinary tract infectious disease","T047",68566005,1342989,"DB13261","DRUGBANK_ID",2449,NULL
173366,2438,21001022,"indication","Depressive disorder","C0011581","Depressive disorder","T048",35489007,1342376,"DB09304","DRUGBANK_ID",2438,NULL
173367,5238,21002593,"indication","Bacterial infection of skin","C0162627","Bacterial infection of skin","T047",128936008,1342708,"DB11943","DRUGBANK_ID",5238,NULL
173368,5240,21002811,"indication","Osteoarthritis","C0029408","Osteoarthritis","T047",396275006,1342791,"DB12399","DRUGBANK_ID",5240,NULL
173369,5239,21000594,"indication","Diabetes mellitus type 2","C0011860","Diabetes mellitus type 2","T047",44054006,1342826,"DB12625","DRUGBANK_ID",5239,NULL
173370,5236,21003205,"indication","Cough","C0010200","Cough","T184",49727002,1343031,"DB13309","DRUGBANK_ID",5236,NULL
173371,5241,40249328,"indication","At risk of venous thromboembolus","C1960639","At risk of venous thromboembolus","T033",427631000,1342786,"DB12364","DRUGBANK_ID",5241,NULL
173373,667,21001080,"indication","Relapsing remitting multiple sclerosis","C0751967","Relapsing remitting multiple sclerosis","T047",426373005,1340317,"DB00242","DRUGBANK_ID",667,NULL
173374,5242,21000193,"indication","Chronic hepatitis C","C0524910","Chronic hepatitis C","T047",128302006,1342732,"DB12026","DRUGBANK_ID",5242,NULL
173375,5243,21000193,"indication","Chronic hepatitis C","C0524910","Chronic hepatitis C","T047",128302006,1343547,"DB13879","DRUGBANK_ID",5243,NULL
173376,5244,21000193,"indication","Chronic hepatitis C","C0524910","Chronic hepatitis C","T047",128302006,1343546,"DB13878","DRUGBANK_ID",5244,NULL
132464,5203,21000533,"indication","Malignant tumor of ovary","C1140680","Malignant tumor of ovary","T191",363443007,1342781,"DB12332","DRUGBANK_ID",5203,NULL
132465,5202,21002805,"indication","Rheumatoid arthritis","C0003873","Rheumatoid arthritis","T047",69896004,1342684,"DB11817","DRUGBANK_ID",5202,NULL
132466,67,21001550,"indication","Atrial fibrillation","C0004238","Atrial fibrillation","T047",49436004,1340579,"DB00511","DRUGBANK_ID",67,NULL
132467,67,40249123,"indication","Congestive heart failure","C0018802","Congestive heart failure","T047",42343007,1340579,"DB00511","DRUGBANK_ID",67,NULL
132469,76,21013846,"indication","Hyperlipoproteinemia","C0020476","Hyperlipoproteinemia","T047",3744001,1342194,"DB09055","DRUGBANK_ID",76,NULL
132470,5201,21002630,"indication","Atopic dermatitis","C0011615","Atopic dermatitis","T047",24079001,1341707,"DB05219","DRUGBANK_ID",5201,NULL
132471,5204,21000803,"indication","Iron deficiency anemia","C0162316","Iron deficiency anemia","T047",87522002,1341784,"DB06215","DRUGBANK_ID",5204,NULL
132472,5206,40249310,"indication","Adenosine deaminase deficiency","C0268124","Adenosine deaminase deficiency","T047",44940001,1340162,"DB00061","DRUGBANK_ID",5206,NULL
132473,5205,21000475,"indication","Hairy cell leukemia","C0023443","Hairy cell leukemia","T191",118613001,1340191,"DB00105","DRUGBANK_ID",5205,NULL
132474,5205,21000437,"indication","Malignant melanoma","C0025202","Malignant melanoma","T191",372244006,1340191,"DB00105","DRUGBANK_ID",5205,NULL
132475,5205,40249311,"indication","Follicular lymphoma","C0024301","Follicular lymphoma","T191",55150002,1340191,"DB00105","DRUGBANK_ID",5205,NULL
132476,5205,21000201,"indication","Condyloma acuminatum","C0009663","Condyloma acuminatum","T047",240542006,1340191,"DB00105","DRUGBANK_ID",5205,NULL
132477,5205,21004839,"indication","Kaposi's sarcoma associated with AIDS","C0276535","Kaposi's sarcoma associated with AIDS","T191",420524008,1340191,"DB00105","DRUGBANK_ID",5205,NULL
132478,5205,21000193,"indication","Chronic hepatitis C","C0524910","Chronic hepatitis C","T047",128302006,1340191,"DB00105","DRUGBANK_ID",5205,NULL
132479,5205,21000192,"indication","Chronic type B viral hepatitis","C0524909","Chronic type B viral hepatitis","T047",61977001,1340191,"DB00105","DRUGBANK_ID",5205,NULL
132480,5207,40249312,"indication","Spinal muscular atrophy","C0026847","Spinal muscular atrophy","T047",5262007,1342921,"DB13161","DRUGBANK_ID",5207,NULL
132481,2032,40249313,"indication","Persistent erythema of skin","C1720538","Persistent erythema of skin","T033",420356000,1340989,"DB00935","DRUGBANK_ID",2032,NULL
132482,1430,21001460,"indication","Angina pectoris","C0002962","Angina pectoris","T033",194828000,1342359,"DB09284","DRUGBANK_ID",1430,NULL
132483,5208,21013442,"indication","Chronic idiopathic constipation","C0267509","Chronic idiopathic constipation","T047",82934008,1342928,"DB13170","DRUGBANK_ID",5208,NULL
132484,5210,21000523,"indication","Non-small cell lung cancer","C0007131","Non-small cell lung cancer","T191",254637007,1342923,"DB13164","DRUGBANK_ID",5210,NULL
132485,5209,21000523,"indication","Non-small cell lung cancer","C0007131","Non-small cell lung cancer","T191",254637007,1342665,"DB11737","DRUGBANK_ID",5209,NULL
132486,4394,21000192,"indication","Chronic type B viral hepatitis","C0524909","Chronic type B viral hepatitis","T047",61977001,1341864,"DB06683","DRUGBANK_ID",4394,NULL
132487,5188,21000488,"indication","Chronic myeloid leukemia","C0023473","Chronic myeloid leukemia","T191",92818009,1342780,"DB12323","DRUGBANK_ID",5188,NULL
132488,795,21013942,"indication","Dyspareunia","C1384606","Dyspareunia","T033",71315007,1341516,"DB01708","DRUGBANK_ID",795,NULL
132489,5189,21000850,"indication","Hereditary factor IX deficiency disease","C0008533","Hereditary factor IX deficiency disease","T047",41788008,1343549,"DB13884","DRUGBANK_ID",5189,NULL
132490,4942,21000450,"indication","Renal cell carcinoma","C0007134","Renal cell carcinoma","T191",702391001,1342215,"DB09078","DRUGBANK_ID",4942,NULL
133013,654,21003056,"indication","Vertigo","C0042571","Vertigo","T184",399153001,1340636,"DB00568","DRUGBANK_ID",654,NULL
132491,658,21000703,"indication","Hypertriglyceridemia","C0020557","Hypertriglyceridemia","T033",302870006,1342201,"DB09064","DRUGBANK_ID",658,NULL
132492,658,21000705,"indication","Mixed hyperlipidemia","C0020474","Mixed hyperlipidemia","T047",267434003,1342201,"DB09064","DRUGBANK_ID",658,NULL
132493,5199,40249217,"indication","Chronic non-neuropathic Gaucher's disease","C1961835","Chronic non-neuropathic Gaucher's disease","T047",62201009,1342034,"DB08876","DRUGBANK_ID",5199,NULL
132494,5142,21001057,"indication","Parkinson's disease","C0030567","Parkinson's disease","T047",49049000,1341721,"DB05316","DRUGBANK_ID",5142,NULL
132495,1375,21000485,"indication","Acute myeloid leukemia, disease","C0023467","Acute myeloid leukemia, disease","T191",91861009,1341726,"DB05381","DRUGBANK_ID",1375,NULL
132497,4314,21001205,"indication","Open-angle glaucoma","C0017612","Open-angle glaucoma","T047",84494001,1342990,"DB13262","DRUGBANK_ID",4314,NULL
132498,49,21001860,"indication","Asthma","C0004096","Asthma","T047",195967001,1343275,"DB13573","DRUGBANK_ID",49,NULL
132499,49,21001833,"indication","Bronchitis","C0006277","Bronchitis","T047",32398004,1343275,"DB13573","DRUGBANK_ID",49,NULL
132500,49,21001594,"indication","Disorder of cardiovascular system","C0007222","Disorder of cardiovascular system","T047",49601007,1343275,"DB13573","DRUGBANK_ID",49,NULL
132501,48,21001698,"indication","Venous thrombosis","C0042487","Venous thrombosis","T046",111293003,1341403,"DB01418","DRUGBANK_ID",48,NULL
132502,48,40249099,"indication","Pulmonary embolism","C0034065","Pulmonary embolism","T047",59282003,1341403,"DB01418","DRUGBANK_ID",48,NULL
132503,55,40249279,"indication","Amebic infection","C0002438","Amebic infection","T047",111910009,1342995,"DB13268","DRUGBANK_ID",55,NULL
132504,62,21002051,"indication","Gastritis","C0017152","Gastritis","T047",4556007,1343336,"DB13640","DRUGBANK_ID",62,NULL
132505,64,21001051,"indication","Alzheimer's disease","C0002395","Alzheimer's disease","T047",26929004,1343841,"DB00583","DRUGBANK_ID",64,True
132505,64,21001051,"indication","Alzheimer's disease","C0002395","Alzheimer's disease","T047",26929004,1342019,"DB08842","DRUGBANK_ID",64,NULL
132506,64,21013500,"indication","Senile dementia","C0011268","Senile dementia","T048",15662003,1343841,"DB00583","DRUGBANK_ID",64,True
132506,64,21013500,"indication","Senile dementia","C0011268","Senile dementia","T048",15662003,1342019,"DB08842","DRUGBANK_ID",64,NULL
132507,5186,40249052,"indication","Clostridium difficile infection","C0343386","Clostridium difficile infection","T047",186431008,1342914,"DB13140","DRUGBANK_ID",5186,NULL
132508,5183,40249134,"indication","Sarcoma of soft tissue","C1261473","Sarcoma of soft tissue","T191",424952003,1341748,"DB06043","DRUGBANK_ID",5183,NULL
132510,3094,40249064,"indication","Antiseptic preparation","C0443072","Antiseptic preparation","T121",261276004,1342504,"DB11121","DRUGBANK_ID",3094,NULL
132512,1849,21002731,"indication","Acne vulgaris","C0001144","Acne vulgaris","T047",88616000,1343089,"DB13368","DRUGBANK_ID",1849,NULL
132513,2344,40249279,"indication","Amebic infection","C0002438","Amebic infection","T047",111910009,1342841,"DB12780","DRUGBANK_ID",2344,NULL
132515,1727,40249297,"indication","Bacterial enteritis","C0152516","Bacterial enteritis","T047",75375008,1340985,"DB00931","DRUGBANK_ID",1727,NULL
132516,5174,21001319,"indication","Tear film insufficiency","C0013238","Tear film insufficiency","T047",46152009,1342619,"DB11611","DRUGBANK_ID",5174,NULL
132517,5175,40249298,"indication","Nonunion of fracture","C0016665","Nonunion of fracture","T046",302941001,1342633,"DB11631","DRUGBANK_ID",5175,NULL
132518,2654,40249064,"indication","Antiseptic preparation","C0443072","Antiseptic preparation","T121",261276004,1343389,"DB13702","DRUGBANK_ID",2654,NULL
132520,2026,21002035,"indication","Peptic ulcer","C0030920","Peptic ulcer","T047",13200003,1340456,"DB00383","DRUGBANK_ID",2026,NULL
132521,1588,21001116,"indication","Migraine","C0149931","Migraine","T047",37796009,1340657,"DB00589","DRUGBANK_ID",1588,NULL
132522,1588,21002499,"indication","Amenorrhea","C0002453","Amenorrhea","T047",14302001,1340657,"DB00589","DRUGBANK_ID",1588,NULL
132523,1588,21000613,"indication","Acromegaly","C0001206","Acromegaly","T047",74107003,1340657,"DB00589","DRUGBANK_ID",1588,NULL
132524,3125,21002114,"indication","Constipation","C0009806","Constipation","T184",14760008,1341623,"DB04816","DRUGBANK_ID",3125,NULL
132525,511,21000515,"indication","Malignant tumor of colon","C0007102","Malignant tumor of colon","T191",363406005,1342153,"DB09010","DRUGBANK_ID",511,NULL
132526,5176,21000716,"indication","Gout","C0018099","Gout","T047",90560007,1342298,"DB09208","DRUGBANK_ID",5176,NULL
132527,3557,40249299,"indication","Dermal mycosis","C0011630","Dermal mycosis","T047",14560005,1343362,"DB13671","DRUGBANK_ID",3557,NULL
132528,3557,40249300,"indication","Pityriasis","C0032024","Pityriasis","T047",34630004,1343362,"DB13671","DRUGBANK_ID",3557,NULL
132529,676,21002102,"indication","Enterocolitis","C0014356","Enterocolitis","T047",43752006,1340833,"DB00771","DRUGBANK_ID",676,NULL
132530,1007,21001560,"indication","Ventricular premature beats","C0151636","Ventricular premature beats","T046",17338001,1341274,"DB01228","DRUGBANK_ID",1007,NULL
132531,1500,21002035,"indication","Peptic ulcer","C0030920","Peptic ulcer","T047",13200003,1341507,"DB01625","DRUGBANK_ID",1500,NULL
132534,3483,21000344,"indication","Aspergillosis","C0004030","Aspergillosis","T047",65553006,1341308,"DB01263","DRUGBANK_ID",3483,NULL
132535,3483,21006596,"indication","Fusarium infection","C0276758","Fusarium infection","T047",64250002,1341308,"DB01263","DRUGBANK_ID",3483,NULL
132536,3483,21000343,"indication","Chromoblastomycosis","C0008582","Chromoblastomycosis","T047",187079000,1341308,"DB01263","DRUGBANK_ID",3483,NULL
132537,3014,40249140,"indication","Sunscreen agent","C0038818","Sunscreen agent","T167",49663007,1342532,"DB11206","DRUGBANK_ID",3014,NULL
132538,2038,21002114,"indication","Constipation","C0009806","Constipation","T184",14760008,1341630,"DB04823","DRUGBANK_ID",2038,NULL
132539,2037,21002114,"indication","Constipation","C0009806","Constipation","T184",14760008,1343640,"DB14627","DRUGBANK_ID",2037,NULL
132540,5137,21001080,"indication","Relapsing remitting multiple sclerosis","C0751967","Relapsing remitting multiple sclerosis","T047",426373005,1342252,"DB09122","DRUGBANK_ID",5137,NULL
132541,5139,21001080,"indication","Relapsing remitting multiple sclerosis","C0751967","Relapsing remitting multiple sclerosis","T047",426373005,1340161,"DB00060","DRUGBANK_ID",5139,NULL
132542,5140,21001080,"indication","Relapsing remitting multiple sclerosis","C0751967","Relapsing remitting multiple sclerosis","T047",426373005,1340167,"DB00068","DRUGBANK_ID",5140,NULL
132543,4156,40249281,"indication","Ischemic stroke","C0948008","Ischemic stroke","T047",422504002,1342766,"DB12243","DRUGBANK_ID",4156,NULL
132544,5141,40249281,"indication","Ischemic stroke","C0948008","Ischemic stroke","T047",422504002,1340124,"DB00009","DRUGBANK_ID",5141,NULL
132545,5141,40249251,"indication","Acute myocardial infarction","C0155626","Acute myocardial infarction","T047",57054005,1340124,"DB00009","DRUGBANK_ID",5141,NULL
132546,5141,40249099,"indication","Pulmonary embolism","C0034065","Pulmonary embolism","T047",59282003,1340124,"DB00009","DRUGBANK_ID",5141,NULL
132547,4715,21000450,"indication","Renal cell carcinoma","C0007134","Renal cell carcinoma","T191",702391001,1342033,"DB08875","DRUGBANK_ID",4715,NULL
132548,5122,40249282,"indication","Iron supplement therapy","C3537005","Iron supplement therapy","T058",438911000124105,1343570,"DB13995","DRUGBANK_ID",5122,NULL
132549,5143,21001057,"indication","Parkinson's disease","C0030567","Parkinson's disease","T047",49049000,1342634,"DB11632","DRUGBANK_ID",5143,NULL
132550,5144,40249283,"indication","Urinary bladder stone","C0005683","Urinary bladder stone","T047",70650003,1341602,"DB04564","DRUGBANK_ID",5144,NULL
132551,5145,40249284,"indication","Respiratory tract infection","C0035243","Respiratory tract infection","T047",275498002,1343920,"DB12190","DRUGBANK_ID",5145,True
132551,5145,40249284,"indication","Respiratory tract infection","C0035243","Respiratory tract infection","T047",275498002,1341735,"DB05659","DRUGBANK_ID",5145,NULL
132552,5145,21002593,"indication","Bacterial infection of skin","C0162627","Bacterial infection of skin","T047",128936008,1343920,"DB12190","DRUGBANK_ID",5145,True
132552,5145,21002593,"indication","Bacterial infection of skin","C0162627","Bacterial infection of skin","T047",128936008,1341735,"DB05659","DRUGBANK_ID",5145,NULL
132553,1131,21002593,"indication","Bacterial infection of skin","C0162627","Bacterial infection of skin","T047",128936008,1342757,"DB12190","DRUGBANK_ID",1131,NULL
132554,1131,40249284,"indication","Respiratory tract infection","C0035243","Respiratory tract infection","T047",275498002,1342757,"DB12190","DRUGBANK_ID",1131,NULL
132555,1957,21003454,"indication","Contraception","C0700589","Contraception","T061",13197004,1343916,"DB11636","DRUGBANK_ID",1957,True
132555,1957,21003454,"indication","Contraception","C0700589","Contraception","T061",13197004,1343566,"DB13981","DRUGBANK_ID",1957,NULL
132556,5146,21012052,"indication","Magnetic resonance imaging","C0024485","Magnetic resonance imaging","T060",113091000,1342452,"DB09507","DRUGBANK_ID",5146,NULL
132557,5148,21002955,"indication","Respiratory distress syndrome in the newborn","C0035220","Respiratory distress syndrome in the newborn","T047",46775006,1342243,"DB09113","DRUGBANK_ID",5148,NULL
132559,5133,21000483,"indication","Chronic lymphoid leukemia, disease","C0023434","Chronic lymphoid leukemia, disease","T191",92814006,1342604,"DB11581","DRUGBANK_ID",5133,NULL
132560,5134,40249280,"indication","Hereditary factor XIII A subunit deficiency","C2584877","Hereditary factor XIII A subunit deficiency","T047",439455002,1342378,"DB09310","DRUGBANK_ID",5134,NULL
132561,5135,21000765,"indication","Cystic fibrosis","C0010674","Cystic fibrosis","T047",190905008,1340118,"DB00003","DRUGBANK_ID",5135,NULL
132562,1593,21000926,"indication","Opioid withdrawal","C0029104","Opioid withdrawal","T048",87132004,1341687,"DB04948","DRUGBANK_ID",1593,NULL
132563,4171,40249259,"indication","Liposarcoma","C0023827","Liposarcoma","T191",254829001,1342029,"DB08871","DRUGBANK_ID",4171,NULL
132564,5082,21000482,"indication","Acute lymphoid leukemia","C0023449","Acute lymphoid leukemia","T191",91857003,1340160,"DB00059","DRUGBANK_ID",5082,NULL
132565,5080,21000193,"indication","Chronic hepatitis C","C0524910","Chronic hepatitis C","T047",128302006,1342600,"DB11574","DRUGBANK_ID",5080,NULL
132566,5081,21000193,"indication","Chronic hepatitis C","C0524910","Chronic hepatitis C","T047",128302006,1342601,"DB11575","DRUGBANK_ID",5081,NULL
132567,2019,21001116,"indication","Migraine","C0149931","Migraine","T047",37796009,1343175,"DB13463","DRUGBANK_ID",2019,NULL
132568,2345,21003455,"indication","Postcoital contraception","C0419527","Postcoital contraception","T061",268463003,1343937,"DB13685","DRUGBANK_ID",2345,True
132568,2345,21003455,"indication","Postcoital contraception","C0419527","Postcoital contraception","T061",268463003,1343660,"DB14679","DRUGBANK_ID",2345,NULL
132569,3871,21000225,"indication","Falciparum malaria","C0024535","Falciparum malaria","T047",62676009,1342911,"DB13132","DRUGBANK_ID",3871,NULL
132570,5083,21002686,"indication","Plaque psoriasis","C0406317","Plaque psoriasis","T047",200965009,1342597,"DB11569","DRUGBANK_ID",5083,NULL
