drug	indication
DB00564	C0036341
DB00564	C0040997
DB00190	C0242422
DB00190	C0030567
DB00190	C0030567
DB00190	C1876177
DB00958	C0005684
DB00958	C0546837
DB00958	C1306459
DB00958	C0029463
DB00262	C1846575
DB00262	C0019829
DB00262	C0023434
DB00262	C0023448
DB00262	C1306459
DB00262	C0026764
DB00262	C0024302
DB00521	C1842028
DB00521	C0020538
DB00521	C0020544
DB01136	C2041124
DB01136	C0020538
DB01136	C0020544
DB01327	C0008325
DB00535	C0027430
DB00535	C0029882
DB00482	C0032580
DB00482	C0432215
DB00482	C1837645
DB00482	C1962977
DB00482	C0032580
DB00482	C0029408
DB00482	C0029408
DB00482	C0029408
DB00482	C0032580
DB00482	C1843859
DB00475	C0001973
DB00475	C0014356
DB01161	C1962977
DB00608	C0036202
DB00880	C0023890
DB00880	C0034067
DB00880	C0398701
DB00880	C1300226
DB00880	C0020538
DB00880	C0027726
DB00880	C0020544
DB00477	C1963179
DB00477	C0036341
DB00672	C0011860
DB00672	C1852093
DB00672	C1841962
DB00672	C1838100
DB00310	C0020538
DB00310	C0020544
DB00356	C1962977
DB00169	C1563292
DB00169	C0678202
DB00169	C1563292
DB00122	C0432215
DB00122	C1962977
DB00122	C0029408
DB00122	C0029408
DB00122	C0029408
DB00122	C1843859
DB01410	C0027430
DB01188	C0006840
DB01188	C0011645
DB00501	C0017168
DB00501	C0021831
DB00501	C0271586
DB00501	C1963252
DB00537	C0027430
DB00537	C1963179
DB00537	C0678202
DB00537	C0027947
DB00537	C0029882
DB00604	C0021831
DB00515	C0005684
DB00515	C0546837
DB00515	C0019829
DB00515	C1306459
DB00515	C0026764
DB00515	C0700095
DB00515	C0029463
DB00515	C0149925
DB00515	C0039590
DB00215	C0001973
DB00215	C0011989
DB00215	C0240041
DB00215	C1963101
DB00215	C0026848
DB00215	C0029421
DB00215	C1868649
DB00215	C0031117
DB00215	C0037772
DB04272	C0403720
DB04272	C0259810
DB04272	C0268435
DB04272	C0001126
DB00242	C0023434
DB00242	C0023434
DB00242	C1306459
DB00242	C0026769
DB00242	C0027947
DB00771	C0014356
DB00771	C0021390
DB01013	C0011645
DB01013	C0023652
DB00631	C0023448
DB00636	C0020481
DB00882	C0232981
DB01242	C0029421
DB01242	C1868649
DB01068	C0263417
DB01068	C0432215
DB01068	C0014550
DB01068	C0751785
DB01068	C0029408
DB01068	C0029408
DB01068	C0029408
DB01068	C1868649
DB01068	C1876177
DB01068	C0036341
DB01068	C1843859
DB00575	C2041124
DB00575	C1263846
DB00575	C0026838
DB00575	C0040517
DB00575	C0020458
DB00575	C0020538
DB00575	C1962977
DB00575	C1706920
DB00575	C0020544
DB00575	C1876177
DB00758	C0007785
DB00758	C0038454
DB00758	C0948008
DB00257	C0006840
DB00257	C0006840
DB00363	C0036341
DB00907	C1962977
DB00907	C0442874
DB00318	C1963179
DB00318	C0442874
DB00318	C0029408
DB01394	C0031069
DB00286	C1563292
DB00286	C0006142
DB00286	C0087012
DB00286	C0085215
DB00286	C0600139
DB00286	C0600139
DB00286	C0266383
DB01003	C0027430
DB01003	C1869116
DB01003	C0021390
DB00115	C0002892
DB01176	C1963179
DB00924	C0026821
DB00924	C0026838
DB00924	C1962977
DB00924	C0338480
DB00924	C0027121
DB00091	C0026896
DB00091	C0024141
DB00434	C0005747
DB00434	C0037771
DB00434	C0030552
DB00434	C0270871
DB00434	C0520946
DB00434	C0338480
DB00434	C0149931
DB00434	C0036341
DB00434	C0037771
DB00987	C0023418
DB00987	C0019829
DB00987	C0032580
DB00987	C0023467
DB00987	C0023434
DB00987	C0023448
DB00987	C1306459
DB00987	C0024302
DB00851	C0019829
DB00851	C0151779
DB00851	C0151779
DB00851	C1306459
DB00851	C0700095
DB00851	C0206655
DB01406	C0014175
DB01406	C0398701
DB01406	C1300226
DB01406	C0037772
DB01219	C0007785
DB01219	C0026838
DB01219	C0024591
DB01219	C1704207
DB01219	C0024591
DB01219	C0024591
DB01219	C0038454
DB01219	C0026769
DB01219	C0023882
DB01219	C0948008
DB01254	C0023418
DB01254	C0023448
DB01254	C1306459
DB00694	C0023418
DB00694	C0036220
DB00694	C0023467
DB00694	C0023448
DB00694	C1306459
DB01262	C0265219
DB01262	C1510411
DB01189	C0020538
DB01189	C1962977
DB01189	C0020544
DB01151	C1263846
DB01151	C1962977
DB00035	C0687720
DB00035	C0687720
DB00035	C0270327
DB00035	C0270327
DB00035	C0019069
DB00304	C0014175
DB00304	C0032460
DB00304	C0266383
DB01260	C0576224
DB00547	C0576224
DB01234	C0027430
DB01234	C0011645
DB01234	C0023418
DB01234	C0398701
DB01234	C0877431
DB01234	C0576224
DB01234	C1300226
DB01234	C1963179
DB01234	C0024440
DB01234	C1306459
DB01234	C0026948
DB01234	C0029882
DB01234	C0036202
DB01234	C0037772
DB01234	C0024141
DB01234	C0043117
DB00380	C0581883
DB00380	C0026848
DB00380	C0948896
DB00380	C0086543
DB00380	C0026848
DB00380	C0014117
DB00380	C0014117
DB01576	C1263846
DB01576	C0013144
DB00514	C1963179
DB00514	C0442874
DB00829	C0026838
DB00829	C0234972
DB00829	C0025281
DB00527	C1962977
DB00586	C1834057
DB00586	C0432215
DB00586	C0085636
DB00586	C1962977
DB00586	C0023234
DB00586	C0029408
DB00586	C0029408
DB00586	C0029408
DB00586	C1843859
DB00804	C0398701
DB00804	C0021831
DB00937	C1963185
DB00937	C0271586
DB00255	C1306459
DB00861	C0432215
DB00861	C1962977
DB00861	C0029408
DB00861	C0029408
DB00861	C0029408
DB00861	C1843859
DB00390	C2041124
DB00390	C2041124
DB01551	C0442874
DB00320	C1963179
DB00320	C0338480
DB00320	C0149931
DB01070	C0018784
DB01070	C0085682
DB00343	C2041124
DB00343	C2041124
DB00343	C0020538
DB00343	C0034734
DB00343	C0020544
DB00917	C0020217
DB01075	C1963179
DB01075	C0520946
DB01075	C0026603
DB01075	C0442874
DB01231	C1963179
DB01231	C0025281
DB00449	C1842028
DB00449	C1866483
DB00449	C0339573
DB00449	C0020544
DB00975	C0948008
DB00280	C1560249
DB00822	C0001973
DB00313	C0338480
DB00313	C0149931
DB01248	C0006142
DB01248	C0699791
DB01248	C0151779
DB01248	C0151779
DB01248	C1306459
DB01248	C0600139
DB00204	C2041124
DB00204	C2041124
DB00204	C1560249
DB00757	C1963179
DB00843	C0011560
DB00843	C0002395
DB00843	C0242422
DB00988	C0018784
DB00988	C0403720
DB00988	C0029435
DB00988	C0020544
DB00869	C1842028
DB00869	C1866483
DB00869	C0339573
DB00869	C0020544
DB00590	C0026821
DB00590	C0020538
DB00590	C1962977
DB00590	C1527263
DB00590	C0034734
DB00590	C0020544
DB01142	C0011615
DB01142	C1962977
DB00997	C0005684
DB00997	C0006142
DB00997	C0699791
DB00997	C0019829
DB00997	C0023467
DB00997	C0242379
DB00997	C0023448
DB00997	C1306459
DB00997	C0026764
DB00997	C0700095
DB00997	C0029463
DB00997	C0206655
DB00997	C0206682
DB00997	C0027708
DB00366	C1963179
DB00366	C0520946
DB01395	C0032460
DB01395	C0678108
DB00476	C1962977
DB00476	C0031117
DB00651	C0027430
DB00651	C1869116
DB00651	C0034067
DB00216	C0338480
DB00216	C0338480
DB00216	C0338480
DB00216	C0338480
DB00216	C0338480
DB00216	C0149931
DB00584	C0020538
DB00584	C0018784
DB01228	C1560249
DB01225	C0005129
DB01225	C0340978
DB01225	C0040015
DB01225	C0040053
DB00494	C0030567
DB00494	C0030567
DB01364	C0027430
DB01364	C1869116
DB00668	C0027430
DB00668	C1869116
DB00668	C1842028
DB00668	C1866483
DB00668	C0339573
DB00668	C0520946
DB00445	C0006142
DB00445	C1306459
DB01240	C0152171
DB01240	C0020544
DB01240	C0043117
DB00876	C0020538
DB00876	C0020544
DB00153	C0018784
DB00153	C0085682
DB00153	C0029442
DB00153	C0221468
DB00696	C0338480
DB00696	C0149931
DB00530	C0007134
DB00199	C0678108
DB01175	C0029421
DB00187	C0020538
DB00187	C0020544
DB00736	C0017168
DB00736	C0850666
DB00736	C1963252
DB00783	C1563292
DB00783	C0006142
DB00783	C0087012
DB00783	C0085215
DB00783	C0600139
DB01196	C0600139
DB01196	C0600139
DB00655	C0087012
DB00655	C0085215
DB00903	C0023890
DB00903	C0008732
DB00903	C0034067
DB00903	C0398701
DB00903	C1300226
DB00903	C0020538
DB00903	C0027726
DB00903	C0020544
DB00898	C1962977
DB00977	C1563292
DB00977	C0087012
DB00977	C0014175
DB00977	C0032460
DB00977	C0085215
DB00977	C0678108
DB00977	C0266383
DB00593	C0234972
DB00754	C0234972
DB00754	C0036572
DB00749	C0432215
DB00749	C1962977
DB00749	C0029408
DB00749	C0029408
DB00749	C0029408
DB00749	C1843859
DB00773	C0019829
DB00773	C1306459
DB00773	C0149925
DB00773	C0039590
DB01590	C0007134
DB01590	C0007134
DB00990	C0006142
DB00927	C0017168
DB00927	C0850666
DB00927	C0021831
DB00927	C1963252
DB00949	C0263417
DB01023	C0020538
DB01023	C0034734
DB01023	C0020544
DB01039	C1704417
DB01039	C0020481
DB00800	C0020538
DB00800	C0020544
DB00573	C0432215
DB00573	C1962977
DB00573	C0029408
DB00573	C0029408
DB00573	C0029408
DB00573	C1843859
DB00813	C1962977
DB01216	C0026821
DB01216	C0162311
DB01216	C0034219
DB01216	C1962977
DB01216	C1527263
DB01148	C0005129
DB01148	C0340978
DB01148	C0040015
DB01195	C2041124
DB01099	C0006840
DB01099	C0006840
DB01073	C0023418
DB01073	C0019829
DB01073	C0023434
DB01073	C0023434
DB01073	C0023448
DB01073	C1306459
DB01073	C0024302
DB00687	C0026267
DB00687	C0235025
DB00180	C0027430
DB00180	C1869116
DB00591	C0011615
DB00324	C0343073
DB00544	C1834057
DB00544	C0006142
DB00544	C0009402
DB00544	C0699791
DB00544	C1306459
DB00472	C1843776
DB00472	C0011989
DB00472	C0235025
DB00472	C0029421
DB00472	C1868649
DB00472	C0036341
DB01185	C0006142
DB01185	C0087012
DB01185	C0151721
DB00623	C0036341
DB00846	C0576224
DB00712	C0040416
DB00712	C0432215
DB00712	C0024440
DB00712	C0029408
DB00712	C0029408
DB00712	C0029408
DB00712	C1843859
DB00499	C0600139
DB00588	C0027430
DB00588	C1869116
DB01095	C1704417
DB00176	C0029421
DB00176	C1868649
DB00569	C0040053
DB00983	C0027430
DB00983	C1869116
DB00983	C0034067
DB00492	C0020538
DB00492	C0018784
DB00492	C0020544
DB01320	C0234972
DB01320	C0036572
DB00998	C0338480
DB00947	C0006142
DB01677	C0162316
DB00695	C0023890
DB00695	C0008732
DB00695	C0034067
DB00695	C0398701
DB00695	C1300226
DB00695	C0020437
DB00695	C0020538
DB00695	C0018784
DB00695	C0027726
DB00695	C0029435
DB00695	C0020544
DB00996	C0011265
DB00996	C0014544
DB00996	C0014544
DB00996	C0014544
DB00996	C0014544
DB00996	C0014544
DB00996	C0014544
DB00996	C0239313
DB00996	C0751265
DB00996	C0020458
DB00996	C1962977
DB00996	C0338480
DB00996	C0031117
DB00996	C1876177
DB00996	C0035304
DB00996	C0393615
DB00674	C0011560
DB00674	C0002395
DB00674	C0242422
DB00441	C0006142
DB00441	C0007134
DB00441	C0007134
DB01241	C1704417
DB01241	C0020481
DB01241	C0086981
DB05259	C0026769
DB01016	C0011860
DB01016	C1852093
DB01016	C1841962
DB01016	C1838100
DB01120	C0011860
DB00222	C0011860
DB00222	C1852093
DB00222	C1841962
DB00222	C1838100
DB01067	C0011860
DB01067	C1852093
DB01067	C1841962
DB01067	C1838100
DB01296	C0432215
DB01296	C0029408
DB01296	C0029408
DB01296	C0029408
DB01296	C1843859
DB00644	C0022735
DB00014	C0006142
DB00014	C0014175
DB00014	C0600139
DB00014	C0600139
DB00889	C1963179
DB00226	C0020538
DB00226	C0020544
DB01170	C0020538
DB01170	C0020544
DB01018	C1263846
DB01018	C0020538
DB01018	C0020544
DB00536	C0037771
DB00536	C0030552
DB00536	C0037771
DB00596	C0576224
DB00502	C0752347
DB00502	C0040517
DB00502	C0036341
DB00502	C0037772
DB01109	C0007785
DB01109	C0038454
DB01109	C0948008
DB01275	C0020538
DB01275	C0085580
DB01275	C0020544
DB00999	C1563292
DB00999	C0008732
DB00999	C0687720
DB00999	C0398701
DB00999	C1300226
DB00999	C0020538
DB00999	C0020544
DB00956	C1962977
DB00956	C0442874
DB00741	C0011645
DB00741	C0576224
DB00741	C0029882
DB00327	C1962977
DB00327	C0442874
DB01005	C0007134
DB01005	C0151779
DB01005	C0151779
DB01005	C1306459
DB01005	C0032463
DB01005	C0007134
DB01005	C0040028
DB00557	C1963179
DB00557	C1962977
DB00424	C0026821
DB00424	C0014356
DB00424	C0020458
DB00424	C0030779
DB00424	C1963252
DB00710	C1563292
DB00710	C1563292
DB01050	C0432215
DB01050	C1963179
DB01050	C1962977
DB01050	C0023234
DB01050	C0235025
DB01050	C0029408
DB01050	C0029408
DB01050	C0029408
DB01050	C1843859
DB00308	C2041124
DB00308	C2041124
DB01177	C0023418
DB01177	C0023467
DB01177	C0023448
DB01181	C0019829
DB01181	C0023434
DB01181	C0023434
DB01181	C0023448
DB01181	C1306459
DB01181	C0039590
DB01088	C0020538
DB01088	C0085580
DB01088	C0152171
DB01088	C0020544
DB00619	C0206141
DB00619	C0023448
DB00619	C1306459
DB00619	C1306759
DB00458	C1263846
DB00458	C0270327
DB00458	C0270327
DB00458	C1962977
DB00458	C1868649
DB00724	C1834057
DB00808	C0398701
DB00808	C1300226
DB00808	C0020538
DB00808	C0027726
DB00808	C0020544
DB00328	C0432215
DB00328	C0004775
DB00328	C0877431
DB00328	C1442903
DB00328	C0268450
DB00328	C1962977
DB00328	C0019621
DB00328	C0338480
DB00328	C0029408
DB00328	C0029408
DB00328	C0029408
DB00328	C1843859
DB00332	C0027430
DB00332	C1869116
DB00332	C0034067
DB01029	C0011860
DB01029	C0020538
DB01029	C0018784
DB01029	C1852093
DB01029	C1841962
DB01029	C1838100
DB01029	C0020544
DB00762	C0009402
DB00762	C0023418
DB00762	C0032580
DB00762	C1306459
DB00221	C0027430
DB00221	C1869116
DB00221	C0034067
DB01064	C0027430
DB01064	C1869116
DB01064	C1560249
DB00883	C0010068
DB00883	C0017168
DB00883	C0152171
DB00883	C0020544
DB01020	C0010068
DB01020	C0017168
DB00982	C0023467
DB00982	C0678108
DB00270	C0020538
DB00270	C0034734
DB00270	C0020544
DB01167	C0006840
DB01167	C0006840
DB01167	C0023281
DB01167	C0027947
DB01221	C1962977
DB01009	C0432215
DB01009	C1963179
DB01009	C0029408
DB01009	C0029408
DB01009	C0029408
DB01009	C1843859
DB00465	C0085636
DB00465	C1962977
DB00598	C0005745
DB00598	C0020538
DB00598	C0026267
DB00598	C1706920
DB00598	C0020544
DB00160	C0033626
DB00555	C0263417
DB00555	C0234972
DB00555	C0036572
DB00555	C0036341
DB00448	C0017168
DB00448	C0850666
DB00448	C1963252
DB01259	C0006142
DB01259	C1306459
DB00125	C0268030
DB00654	C1842028
DB00654	C1866483
DB00654	C0339573
DB00654	C0020544
DB00583	C0342788
DB00480	C0026764
DB01006	C0006142
DB00650	C0009402
DB00650	C0029463
DB00650	C0239672
DB00007	C0014175
DB00007	C0042133
DB00007	C1265823
DB00007	C0600139
DB00007	C0600139
DB00007	C1527263
DB00007	C0678108
DB00848	C1306459
DB01202	C0234972
DB01202	C0014544
DB01202	C0014544
DB01202	C0014544
DB01202	C0014544
DB01202	C0014544
DB01202	C0014544
DB01202	C0239313
DB01202	C0751265
DB01202	C0036572
DB01210	C0005129
DB01210	C1842028
DB01210	C0340978
DB01210	C0020544
DB01210	C0040015
DB01002	C1962977
DB01235	C0030567
DB01235	C1876177
DB01137	C0027430
DB01137	C0029882
DB00367	C0014175
DB00367	C0032460
DB00367	C0266383
DB00451	C0018022
DB00451	C0018213
DB00451	C0677607
DB00451	C0027145
DB00281	C1962977
DB00279	C0018022
DB00279	C0018213
DB00279	C0677607
DB00279	C0027145
DB01255	C0236792
DB01255	C1263846
DB00722	C0007785
DB00722	C0010068
DB00722	C0020538
DB00722	C0018784
DB00722	C0020544
DB00167	C0240041
DB00167	C1963101
DB00167	C0026848
DB00167	C0031117
DB01356	C0036341
DB00186	C0235025
DB00186	C1868649
DB00186	C0040485
DB00678	C0020538
DB00678	C0085580
DB00678	C0018784
DB00678	C0020544
DB00227	C0010068
DB00227	C1704417
DB00408	C0036341
DB01378	C0017168
DB01378	C1963252
DB00653	C0234972
DB00653	C0027697
DB00653	C0036572
DB00653	C0151723
DB00653	C0032914
DB00470	C0004364
DB00179	C1834057
DB00657	C0040517
DB00657	C0020538
DB00657	C0085580
DB00657	C0020544
DB00939	C1962977
DB00603	C1563292
DB00603	C0014175
DB00603	C0007134
DB00603	C0007134
DB00603	C0266383
DB00351	C0004364
DB00351	C0006142
DB00351	C0266383
DB00814	C0432215
DB00814	C1442903
DB00814	C0029408
DB00814	C0029408
DB00814	C0029408
DB00814	C1843859
DB01042	C0026764
DB01042	C0700095
DB01042	C0206655
DB01043	C0011560
DB01043	C0002395
DB01043	C0242422
DB00454	C1962977
DB00532	C0034219
DB00371	C0026821
DB00371	C0026838
DB00371	C1963179
DB01033	C0678202
DB01033	C0021390
DB01033	C0023434
DB01033	C0023434
DB01033	C0023448
DB00244	C0678202
DB00933	C0036341
DB00331	C0011860
DB00331	C1852093
DB00331	C1841962
DB00331	C1838100
DB00331	C0032460
DB00331	C0239672
DB00333	C1962977
DB01577	C1263846
DB01577	C1963185
DB01577	C1963185
DB01577	C0271586
DB00763	C0018213
DB00563	C0271270
DB00563	C0005684
DB00563	C0006142
DB00563	C0009402
DB00563	C0023418
DB00563	C0546837
DB00563	C0699791
DB00563	C0576224
DB00563	C0019829
DB00563	C0020217
DB00563	C0032580
DB00563	C0023467
DB00563	C0023434
DB00563	C0023652
DB00563	C0023448
DB00563	C1306459
DB00563	C0026948
DB00563	C0029463
DB00563	C0024302
DB00563	C0206655
DB00563	C0149925
DB00563	C0039590
DB01403	C1962977
DB00232	C1300226
DB00992	C1834057
DB00968	C0020538
DB00968	C0020544
DB00353	C0338480
DB00422	C1263846
DB00959	C0027430
DB00959	C0004364
DB00959	C1373218
DB00959	C0520946
DB00959	C1306459
DB00959	C0029408
DB01214	C1842028
DB01214	C1866483
DB01214	C0339573
DB01233	C0017168
DB01233	C0338480
DB00524	C1300226
DB00524	C0020538
DB00524	C0020544
DB00264	C2041124
DB00264	C2041124
DB00264	C0005745
DB00264	C0020538
DB00264	C0026267
DB00264	C0020544
DB00264	C0393615
DB00765	C1706920
DB00379	C1560249
DB01110	C0006840
DB01110	C0006840
DB00211	C0026267
DB00211	C0235025
DB00211	C0393571
DB00491	C0011860
DB00491	C1852093
DB00491	C1841962
DB00491	C1838100
DB00419	C1961835
DB01017	C0678108
DB00350	C0034219
DB00350	C0020538
DB00350	C0020544
DB00929	C0029408
DB00929	C1963252
DB00305	C0005684
DB00305	C0699791
DB01204	C0019829
DB01204	C1962977
DB01204	C0023467
DB01204	C0023434
DB01204	C0023448
DB01204	C0026769
DB01204	C0600139
DB01204	C0024302
DB00745	C0520679
DB00745	C1263846
DB00745	C0013144
DB00745	C0026769
DB00691	C0020538
DB00691	C0018784
DB00691	C0020544
DB00764	C0027430
DB00764	C1869116
DB00764	C0576224
DB00471	C0027430
DB00471	C1869116
DB00471	C0034067
DB00295	C1962977
DB00218	C0027430
DB00461	C1962977
DB00461	C0029408
DB01203	C0005745
DB01203	C0020538
DB01203	C0026267
DB01203	C0020544
DB01203	C0393615
DB01203	C1963252
DB00844	C1962977
DB00704	C0001973
DB00788	C0432215
DB00788	C0877431
DB00788	C1442903
DB00788	C1963179
DB00788	C1962977
DB00788	C0023234
DB00788	C0338480
DB00788	C0235025
DB00788	C0029408
DB00788	C0029408
DB00788	C0029408
DB00788	C1843859
DB00952	C0338480
DB00731	C0011860
DB00731	C1852093
DB00731	C1841962
DB00731	C1838100
DB04861	C0005745
DB04861	C0020538
DB04861	C0026267
DB04861	C0020544
DB00716	C0027430
DB00716	C1869116
DB01400	C0026896
DB01400	C0080274
DB00627	C1704417
DB00627	C0020481
DB00622	C0020538
DB00622	C0020544
DB01115	C0020538
DB01115	C0034734
DB01115	C0020544
DB00393	C0007785
DB00393	C0948008
DB00401	C0020538
DB00401	C0034734
DB00401	C0020544
DB00727	C0032914
DB00727	C0034734
DB00325	C0020538
DB00325	C0020544
DB00585	C0017168
DB00585	C0850666
DB00585	C0021831
DB00585	C1963252
DB00368	C0393571
DB00717	C1563292
DB00717	C0087012
DB00717	C0014175
DB00717	C0032460
DB00717	C0678108
DB00717	C0266383
DB00957	C0014175
DB00957	C0678108
DB00957	C0266383
DB00540	C1263846
DB00540	C0270327
DB00540	C0270327
DB00540	C1962977
DB00540	C0235025
DB00540	C1868649
DB00104	C0011854
DB01165	C0850666
DB01165	C0029882
DB00334	C0236792
DB00334	C0029421
DB00334	C0036341
DB00275	C0020538
DB00275	C0020544
DB00338	C0017168
DB00338	C0850666
DB00338	C0021831
DB00338	C1963252
DB00904	C0001973
DB00904	C1963179
DB00904	C0029421
DB00816	C0027430
DB00816	C1869116
DB00816	C0034067
DB01083	C1963185
DB01083	C1963185
DB01083	C0271586
DB01173	C0026821
DB01173	C1962977
DB01173	C0338480
DB01173	C0027121
DB00991	C0432215
DB00991	C0029408
DB00991	C0029408
DB00991	C0029408
DB00991	C1843859
DB00776	C0011265
DB00776	C0234972
DB00776	C0014544
DB00776	C0014544
DB00776	C0014544
DB00776	C0014544
DB00776	C0014544
DB00776	C0014544
DB00776	C0239313
DB00776	C0751265
DB00776	C0035304
DB01062	C0020458
DB00497	C1962977
DB01192	C1962977
DB01229	C0006142
DB01229	C0036220
DB01229	C0027708
DB01267	C0036341
DB03796	C0042842
DB03796	C0042842
DB00282	C0917990
DB00282	C1563292
DB00282	C0006142
DB00282	C0020437
DB00282	C0029401
DB00282	C1306459
DB00282	C0026764
DB00282	C0029435
DB00282	C1563292
DB00213	C0017168
DB00213	C0850666
DB00213	C1963252
DB01113	C1560249
DB01113	C0030779
DB01113	C0034734
DB00715	C0011989
DB00715	C0235025
DB00715	C0029421
DB00715	C1868649
DB00642	C1306459
DB01359	C0020538
DB01359	C0020544
DB00652	C1962977
DB00686	C1962977
DB00552	C1306459
DB00806	C0007785
DB00806	C0038454
DB00806	C0948008
DB00806	C0040053
DB01186	C0030567
DB01186	C0030567
DB00790	C0007785
DB00790	C0010068
DB00790	C0018784
DB01579	C1963185
DB01579	C1963185
DB01579	C0271586
DB01174	C1848822
DB01174	C0234972
DB01174	C0010324
DB01174	C0022350
DB01174	C0014356
DB01174	C1852587
DB01174	C1852581
DB01174	C1842382
