DRUG_ID	DRUG_NAME	INDICATION_FDB	UMLS_CUI	SNOMEDCT_CUI	DOID
795	prasterone	Dyspareunia	C1384606	71315007	
5189	albutrepenonacog alfa	Hereditary factor IX deficiency disease	C0008533	41788008	DOID:12259
4942	lenvatinib	Renal cell carcinoma	C0007134	702391001	DOID:4450
658	ciprofibrate	Hypertriglyceridemia	C0020557	302870006	
658	ciprofibrate	Mixed hyperlipidemia	C0020474	267434003	DOID:13809
5199	taliglucerase alfa	Chronic non-neuropathic Gaucher's disease	C1961835	62201009	DOID:1926
5142	pimavanserin	Parkinson's disease	C0030567	49049000	DOID:14330
1375	histamine	Acute myeloid leukemia, disease	C0023467	91861009	DOID:9119
4314	aceclidine	Open-angle glaucoma	C0017612	84494001	DOID:1067
49	acefylline	Asthma	C0004096	195967001	DOID:2841
49	acefylline	Bronchitis	C0006277	32398004	DOID:6132
49	acefylline	Disorder of cardiovascular system	C0007222	49601007	DOID:1287
48	acenocoumarol	Venous thrombosis	C0042487	111293003	
48	acenocoumarol	Pulmonary embolism	C0034065	59282003	DOID:9477
55	acetarsol	Amebic infection	C0002438	111910009	DOID:9181
62	acetoxolone	Gastritis	C0017152	4556007	DOID:4029
64	acetylcarnitine	Alzheimer's disease	C0002395	26929004	DOID:10652
64	acetylcarnitine	Senile dementia	C0011268	15662003	
5186	bezlotoxumab	Clostridium difficile infection	C0343386	186431008	
5183	olaratumab	Sarcoma of soft tissue	C1261473	424952003	
3566	sulfarside	Amebic infection	C0002438	111910009	DOID:9181
3094	chloroxylenol	Antiseptic preparation	C0443072	261276004	
3353	methylhexaneamine	Nasal congestion	C0027424	68235000	
1849	motretinide	Acne vulgaris	C0001144	88616000	
2344	quinfamide	Amebic infection	C0002438	111910009	DOID:9181
3088	tosylchloramide sodium	Antiseptic preparation	C0443072	261276004	
1727	metacycline	Bacterial enteritis	C0152516	75375008	
5174	lifitegrast	Tear film insufficiency	C0013238	46152009	DOID:10138
5175	eptotermin alfa	Nonunion of fracture	C0016665	302941001	
2654	tibezonium	Antiseptic preparation	C0443072	261276004	
2165	piketoprofen	Pain	C0030193	22253000	
2026	oxyphencyclimine	Peptic ulcer	C0030920	13200003	DOID:750
1588	lisuride	Migraine	C0149931	37796009	DOID:6364
1588	lisuride	Amenorrhea	C0002453	14302001	DOID:13938
1588	lisuride	Acromegaly	C0001206	74107003	DOID:2449
3125	dantron	Constipation	C0009806	14760008	DOID:2089
511	carmofur	Malignant tumor of colon	C0007102	363406005	DOID:219
5176	pegloticase	Gout	C0018099	90560007	DOID:13189
3557	sulbentine	Dermal mycosis	C0011630	14560005	DOID:1563
3557	sulbentine	Pityriasis	C0032024	34630004	
676	clidinium	Enterocolitis	C0014356	43752006	
1007	encainide	Ventricular premature beats	C0151636	17338001	
1500	isopropamide	Peptic ulcer	C0030920	13200003	DOID:750
1492	isofezolac	Rheumatoid arthritis	C0003873	69896004	DOID:7148
1492	isofezolac	Osteoarthritis	C0029408	396275006	DOID:381
3483	posaconazole	Aspergillosis	C0004030	65553006	DOID:13564
3483	posaconazole	Fusarium infection	C0276758	64250002	
3483	posaconazole	Chromoblastomycosis	C0008582	187079000	DOID:1562
3014	bemotrizinol	Sunscreen agent	C0038818	49663007	
2038	oxyphenisatine	Constipation	C0009806	14760008	DOID:2089
2037	oxyphenisatine acetate	Constipation	C0009806	14760008	DOID:2089
5137	peginterferon beta-1a	Relapsing remitting multiple sclerosis	C0751967	426373005	DOID:2378
5139	interferon beta-1a	Relapsing remitting multiple sclerosis	C0751967	426373005	DOID:2378
5140	interferon beta-1b	Relapsing remitting multiple sclerosis	C0751967	426373005	DOID:2378
4156	edaravone	Ischemic stroke	C0948008	422504002	
5141	alteplase	Ischemic stroke	C0948008	422504002	
5141	alteplase	Acute myocardial infarction	C0155626	57054005	DOID:9408
5141	alteplase	Pulmonary embolism	C0034065	59282003	DOID:9477
4715	cabozantinib	Renal cell carcinoma	C0007134	702391001	DOID:4450
5122	ferric pyrophosphate citrate	Iron supplement therapy	C3537005	438911000124105	
5143	opicapone	Parkinson's disease	C0030567	49049000	DOID:14330
5144	gluconolactone	Urinary bladder stone	C0005683	70650003	DOID:11355
5145	faropenem medoxil	Respiratory tract infection	C0035243	275498002	
5145	faropenem medoxil	Bacterial infection of skin	C0162627	128936008	
1131	faropenem	Bacterial infection of skin	C0162627	128936008	
1131	faropenem	Respiratory tract infection	C0035243	275498002	
1957	nomegestrol acetate	Contraception	C0700589	13197004	
5146	ferumoxsil	Magnetic resonance imaging	C0024485	113091000	
5148	poractant alfa	Respiratory distress syndrome in the newborn	C0035220	46775006	DOID:12716
2558	talipexole	Parkinson's disease	C0030567	49049000	DOID:14330
5133	venetoclax	Chronic lymphoid leukemia, disease	C0023434	92814006	DOID:1040
5134	catridecacog	Hereditary factor XIII A subunit deficiency	C2584877	439455002	
5135	dornase alfa	Cystic fibrosis	C0010674	190905008	DOID:1485
1593	lofexidine	Opioid withdrawal	C0029104	87132004	
4171	eribulin	Liposarcoma	C0023827	254829001	DOID:3382
5082	pegaspargase	Acute lymphoid leukemia	C0023449	91857003	DOID:9952
5080	elbasvir	Chronic hepatitis C	C0524910	128302006	
5081	grazoprevir	Chronic hepatitis C	C0524910	128302006	
2019	oxetorone	Migraine	C0149931	37796009	DOID:6364
2345	quingestanol acetate	Postcoital contraception	C0419527	268463003	
3871	artemisinin	Falciparum malaria	C0024535	62676009	DOID:14067
5083	ixekizumab	Plaque psoriasis	C0406317	200965009	
5084	eftrenonacog alfa	Hereditary factor IX deficiency disease	C0008533	41788008	DOID:12259
1178	floctafenine	Acute pain	C0184567	274663001	
5086	besilesomab	Nuclear medicine imaging procedure	C0034606	373205008	
60	racecadotril	Acute diarrhea	C0740441	409966000	
1132	fasudil	Cerebral ischemia	C0917798	287731003	
5087	denileukin diftitox	Primary cutaneous T-cell lymphoma	C0079773	400122007	
5088	alefacept	Plaque psoriasis	C0406317	200965009	
5089	abatacept	Rheumatoid arthritis	C0003873	69896004	DOID:7148
5089	abatacept	Juvenile idiopathic arthritis	C3495559	410502007	
1867	nafamostat	Cystic fibrosis	C0010674	190905008	DOID:1485
5090	arterolane	Falciparum malaria	C0024535	62676009	DOID:14067
311	benoxaprofen	Rheumatoid arthritis	C0003873	69896004	DOID:7148
1203	flunoxaprofen	Rheumatoid arthritis	C0003873	69896004	DOID:7148
5064	climbazole	Seborrheic dermatitis	C0036508	50563003	DOID:8741
5066	tenecteplase	Acute myocardial infarction	C0155626	57054005	DOID:9408
5067	ixazomib	Multiple myeloma	C0026764	109989006	DOID:9538
5068	brivaracetam	Partial seizure	C0014547	29753000	DOID:2234
5063	daratumumab	Multiple myeloma	C0026764	109989006	DOID:9538
5069	susoctocog alfa	Acquired factor VIII deficiency disease	C0272325	14230004	
5070	asparaginase	Acute lymphoid leukemia	C0023449	91857003	DOID:9952
4923	nivolumab	Metastatic renal cell carcinoma	C0278678	702392008	
5071	necitumumab	Non-small cell lung cancer	C0007131	254637007	DOID:3908
2560	taltirelin	Spinocerebellar disease	C0037952	91502009	
4904	adalimumab	Hidradenitis suppurativa	C0162836	59393003	DOID:2280
5072	elotuzumab	Multiple myeloma	C0026764	109989006	DOID:9538
1141	felbinac	Osteoarthritis	C0029408	396275006	DOID:381
1141	felbinac	Pain	C0030193	22253000	
982	echothiophate	Stargardt's disease	C0271093	70099003	
5073	pentapiperium metilsulfate	Peptic ulcer	C0030920	13200003	DOID:750
3704	caroxazone	Depressive disorder	C0011581	35489007	DOID:2848
1008	endralazine	Hypertensive disorder	C0020538	38341003	DOID:10763
4374	lorcaserin	Obesity	C0028754	414916001	DOID:9970
5029	uridine triacetate	Antimetabolite overdose	C0572583	295696001	
5075	lesinurad	Hyperuricemia	C0740394	35885006	DOID:1920
107	alclofenac	Rheumatoid arthritis	C0003873	69896004	DOID:7148
107	alclofenac	Pain	C0030193	22253000	
2206	pirlindole	Depressive disorder	C0011581	35489007	DOID:2848
5046	cobimetinib	Metastatic malignant melanoma	C0860594	443493003	
231	aprindine	Supraventricular arrhythmia	C0428974	72654001	
231	aprindine	Ventricular arrhythmia	C0085612	44103008	
72	acetylpheneturide	Epilepsy	C0014544	84757009	DOID:1826
5047	saroglitazar	Diabetic dyslipidemia associated with type 2 diabetes mellitus	C3661933	761000119102	
5048	pitolisant	Narcolepsy	C0027404	60380001	DOID:8986
5049	asfotase alfa	Hypophosphatasia	C0020630	190859005	DOID:14213
1002	emorfazone	Pain	C0030193	22253000	
5050	astodrimer	Antimicrobial substance	C1136254	250428009	
5051	collagenase	Dupuytren's disease of finger, with contracture	C0410065	203051006	
5051	collagenase	Induratio penis plastica	C0030848	1335005	DOID:8616
2491	sufentanil	Postoperative pain	C0030201	213299007	
4924	pembrolizumab	Non-small cell lung cancer	C0007131	254637007	DOID:3908
569	celiprolol	Hypertensive disorder	C0020538	38341003	DOID:10763
569	celiprolol	Angina pectoris	C0002962	194828000	
1510	isoxsuprine	Raynaud's disease	C0034734	195295006	DOID:10300
3186	eseridine	Indigestion	C0013395	162031009	DOID:2321
1900	nepinalone	Non-productive cough	C0850149	409596002	
1777	meticrane	Hypertensive disorder	C0020538	38341003	DOID:10763
164	aminoglutethimide	Secondary malignant neoplasm of female breast	C0346993	94297009	
5022	flibanserin	Lack or loss of sexual desire	C0020594	270903007	DOID:13868
5024	dibotermin alfa	Degeneration of intervertebral disc	C0158266	77547008	
5024	dibotermin alfa	Fracture of tibia	C0040185	31978002	
5025	sargramostim	Chemotherapy-induced neutropenia	C1827687	425229001	
5026	oprelvekin	Thrombocytopenic disorder	C0040034	302215000	DOID:1588
5000	evolocumab	Familial hypercholesterolemia - heterozygous	C0342882	238079002	
5000	evolocumab	Familial hypercholesterolemia - homozygous	C0342881	238078005	
295	befunolol	Ocular hypertension	C0028840	4210003	DOID:9282
295	befunolol	Open-angle glaucoma	C0017612	84494001	DOID:1067
5027	rolapitant	Chemotherapy-induced nausea and vomiting	C0401160	236084000	
2193	pipotiazine palmitate	Schizophrenia	C0036341	58214004	
1211	flupentixol	Schizophrenia	C0036341	58214004	
2112	perospirone	Schizophrenia	C0036341	58214004	
945	domperidone	Nausea and vomiting	C0027498	16932000	
516	carfenazine	Chronic schizophrenia	C0221765	83746006	
1712	mesoridazine	Schizophrenia	C0036341	58214004	
1222	fluspirilene	Schizophrenia	C0036341	58214004	
5016	alirocumab	Hypercholesterolemia	C0020443	13644009	
5016	alirocumab	Complex dyslipidemia	C3875286	109041000119107	
5016	alirocumab	Familial hypercholesterolemia - heterozygous	C0342882	238079002	
5016	alirocumab	Atherosclerosis	C0004153	38716007	DOID:2348
5017	anakinra	Rheumatoid arthritis	C0003873	69896004	DOID:7148
5017	anakinra	Cryopyrin associated periodic syndrome	C2316212	430079001	
5017	anakinra	Chronic infantile neurological, cutaneous and articular syndrome	C0409818	239826001	
5018	agalsidase beta	Fabry's disease	C0002986	16652001	DOID:14499
5019	turoctocog alfa	Hereditary factor VIII deficiency disease	C0019069	28293008	DOID:12134
4147	gadoversetamide	Magnetic resonance imaging	C0024485	113091000	
5020	olanexidine	Antiseptic preparation	C0443072	261276004	
5021	agalsidase alfa	Fabry's disease	C0002986	16652001	DOID:14499
5012	sacubitril	Chronic heart failure	C0264716	48447003	
5013	trelagliptin	Diabetes mellitus type 2	C0011860	44054006	DOID:9352
2200	pirenzepine	Peptic ulcer	C0030920	13200003	DOID:750
3377	neridronic acid	Osteoporosis	C0029456	64859006	DOID:11476
1431	incadronic acid	Osteoporosis	C0029456	64859006	DOID:11476
3052	butedronic acid	Osteoporosis	C0029456	64859006	DOID:11476
3377	neridronic acid	Humoral hypercalcemia of malignancy	C0149911	47709007	
5014	brexpiprazole	Schizophrenia	C0036341	58214004	
5014	brexpiprazole	Major depressive disorder	C1269683	370143000	
5015	pegvisomant	Acromegaly	C0001206	74107003	DOID:2449
1405	ibopamine	Heart failure	C0018801	84114007	DOID:6000
1402	hyoscyamine	Peptic ulcer	C0030920	13200003	DOID:750
4989	velaglucerase alfa	Chronic non-neuropathic Gaucher's disease	C1961835	62201009	DOID:1926
1999	orphenadrine	Parkinsonism	C0242422	32798002	DOID:13548
4990	trastuzumab emtansine	HER2-positive carcinoma of breast	C1960398	427685000	
4991	lipegfilgrastim	Chemotherapy-induced neutropenia	C1827687	425229001	
1854	moxifloxacin	Pneumonic plague	C0524688	38976008	DOID:10398
1854	moxifloxacin	Septicemic plague	C0152936	9012003	DOID:3481
4994	rasburicase	Hyperuricemia	C0740394	35885006	DOID:1920
4424	candicidin	Candidiasis of vagina	C0006852	72934000	
4848	somatropin	Prader-Willi syndrome	C0032897	89392001	DOID:11983
4848	somatropin	Pituitary dwarfism	C0013338	367460001	DOID:0060870
4848	somatropin	Turner syndrome	C0041408	38804009	DOID:3491
4995	epoetin alfa	Anemia in chronic kidney disease	C1561828	707323002	
4995	epoetin alfa	Anemia due to chemotherapy	C1998329	429564000	
4996	romiplostim	Chronic idiopathic thrombocytopenic purpura	C0272293	13172003	DOID:8924
4997	laronidase	Mucopolysaccharidosis, MPS-I	C0023786	75610003	DOID:12802
4998	aluminum acetate	Skin irritation	C0152030	367466007	
4999	elosulfase alfa	Mucopolysaccharidosis, MPS-IV-A	C0086651	7259005	DOID:12804
5000	evolocumab	Hypercholesterolemia	C0020443	13644009	
5000	evolocumab	Complex dyslipidemia	C3875286	109041000119107	
471	camostat	Gastro-esophageal reflux disease with esophagitis	C0677659	266433003	
2853	xipamide	Hypertensive disorder	C0020538	38341003	DOID:10763
2853	xipamide	Edema	C0013604	267038008	
1618	lumiracoxib	Osteoarthritis	C0029408	396275006	DOID:381
266	azapropazone	Osteoarthritis	C0029408	396275006	DOID:381
266	azapropazone	Gout	C0018099	90560007	DOID:13189
266	azapropazone	Rheumatoid arthritis	C0003873	69896004	DOID:7148
266	azapropazone	Ankylosing spondylitis	C0038013	9631008	DOID:7147
4986	pegfilgrastim	Chemotherapy-induced neutropenia	C1827687	425229001	
4987	filgrastim	Chemotherapy-induced neutropenia	C1827687	425229001	
4987	filgrastim	Congenital neutropenia	C0340970	89655007	
4987	filgrastim	Cyclical neutropenia	C0221023	191347008	DOID:5339
4987	filgrastim	Chronic idiopathic neutropenia	C2267231	248693006	
1193	flufenamic acid	Pain	C0030193	22253000	
2093	penthienate	Peptic ulcer	C0030920	13200003	DOID:750
2093	penthienate	Gastric spasm	C0581358	196754001	
2226	poldine	Peptic ulcer	C0030920	13200003	DOID:750
1778	metipamide	Hypertensive disorder	C0020538	38341003	DOID:10763
3312	ivabradine	Chronic heart failure	C0264716	48447003	
4976	triamcinolone hexacetonide	Alopecia areata	C0002171	68225006	DOID:986
4976	triamcinolone hexacetonide	Discoid lupus erythematosus	C0024138	200938002	
4976	triamcinolone hexacetonide	Keloid scar	C0022548	33659008	
4976	triamcinolone hexacetonide	Lichen planus	C0023646	4776004	DOID:9201
4976	triamcinolone hexacetonide	Lichen simplex chronicus	C0149922	53891004	
4976	triamcinolone hexacetonide	Necrobiosis lipoidica diabeticorum	C0392445	56391002	
4977	siltuximab	Angiofollicular lymph node hyperplasia	C0017531	207036003	DOID:0111157
196	amfetaminil	Narcolepsy	C0027404	60380001	DOID:8986
4978	etanercept	Rheumatoid arthritis	C0003873	69896004	DOID:7148
4978	etanercept	Juvenile idiopathic arthritis	C3495559	410502007	
4978	etanercept	Psoriasis with arthropathy	C0003872	33339001	DOID:9008
4978	etanercept	Ankylosing spondylitis	C0038013	9631008	DOID:7147
4978	etanercept	Plaque psoriasis	C0406317	200965009	
3531	roflumilast	Severe chronic obstructive pulmonary disease	C0730607	313299006	
4979	trastuzumab	HER2-positive carcinoma of breast	C1960398	427685000	
4941	palbociclib	Human epidermal growth factor 2 negative carcinoma of breast	C2316304	431396003	
4941	palbociclib	Hormone receptor positive malignant neoplasm of breast	C1562029	417181009	
4942	lenvatinib	Follicular thyroid carcinoma	C0206682	255028004	DOID:3962
4942	lenvatinib	Papillary thyroid carcinoma	C0238463	255029007	DOID:3969
4943	arformoterol	Chronic obstructive lung disease	C0024117	13645005	DOID:3083
4943	arformoterol	Chronic bronchitis	C0008677	63480004	DOID:6132
4943	arformoterol	Pulmonary emphysema	C0034067	87433001	
4829	apremilast	Plaque psoriasis	C0406317	200965009	
4944	tenofovir alafenamide	Human immunodeficiency virus infection	C0019693	86406008	DOID:526
1021	epalrestat	Diabetic neuropathy	C0011882	230572002	DOID:9743
4682	panobinostat	Multiple myeloma	C0026764	109989006	DOID:9538
4946	avibactam	Pyelonephritis	C0034186	45816000	DOID:11400
4946	avibactam	Bacterial urinary infection	C0729524	312124009	
4946	avibactam	Infectious disease of abdomen	C1112209	128070006	
1137	febuxostat	Hyperuricemia	C0740394	35885006	DOID:1920
4110	tolvaptan	Polycystic kidney disease, adult type	C0085413	28728008	
4923	nivolumab	Squamous cell carcinoma of lung	C0149782	254634000	DOID:3907
2594	tenonitrozole	Infection by Trichomonas	C0040921	56335008	DOID:1947
166	aminolevulinic acid	Fluorescent stain	C0303920	35352008	
2408	roxatidine acetate	Gastroesophageal reflux disease	C0017168	235595009	DOID:8534
2408	roxatidine acetate	Zollinger-Ellison syndrome	C0043515	53132006	DOID:0050782
4918	idursulfase	Mucopolysaccharidosis, MPS-II	C0026705	70737009	DOID:12799
4919	decamethoxine	Antiseptic preparation	C0443072	261276004	
3881	benzydamine	Pain	C0030193	22253000	
77	acitazanolast	Allergic conjunctivitis	C0009766	473460002	DOID:11204
2570	tazanolast	Allergic conjunctivitis	C0009766	473460002	DOID:11204
4920	finafloxacin	Acute otitis externa	C0149948	30250000	DOID:10518
343	beraprost	Pulmonary arterial hypertension	C2973725	11399002	
4921	safinamide	Parkinson's disease	C0030567	49049000	DOID:14330
4922	ceftolozane	Urinary tract infectious disease	C0042029	68566005	
4922	ceftolozane	Infectious disease of abdomen	C1112209	128070006	
1166	fenticonazole	Candidal vulvovaginitis	C0700345	72605008	DOID:2272
3548	sitaxentan	Pulmonary arterial hypertension	C2973725	11399002	
4923	nivolumab	Metastatic malignant melanoma	C0860594	443493003	
4164	liraglutide	Weight loss	C0043096	89362005	
4157	lercanidipine	Hypertensive disorder	C0020538	38341003	DOID:10763
2655	tibolone	Postmenopausal osteoporosis	C0029458	102447009	
4924	pembrolizumab	Metastatic malignant melanoma	C0860594	443493003	
2864	zipeprol	Cough	C0010200	49727002	
4150	rimonabant	Obesity	C0028754	414916001	DOID:9970
2361	reboxetine	Major depressive disorder	C1269683	370143000	
362	bezafibrate	Hypercholesterolemia	C0020443	13644009	
4516	tetracosactide	Cosyntropin preparation	C0010192	126188005	
2658	tienilic acid	Hypertensive disorder	C0020538	38341003	DOID:10763
4145	lutein	Age related macular degeneration	C0242383	267718000	DOID:10871
4145	lutein	Tear film insufficiency	C0013238	46152009	DOID:10138
4145	lutein	Meibomian gland dysfunction	C1275684	397549002	
4915	blinatumomab	Pre B-cell acute lymphoblastic leukemia	C0349636	277572006	
2368	reproterol	Asthma	C0004096	195967001	DOID:2841
4190	ruxolitinib	Polycythemia vera	C0032463	109992005	DOID:8432
1579	lidocaine	Premature ejaculation	C0033038	44001008	DOID:13709
2265	prilocaine	Premature ejaculation	C0033038	44001008	DOID:13709
2371	retapamulin	Superficial bacterial infection of skin	C0342985	275441009	
4916	aflibercept	Exudative age-related macular degeneration	C0271084	414173003	DOID:10873
4916	aflibercept	Central retinal vein occlusion with macular edema	C0339498	232039004	
4916	aflibercept	Branch retinal vein occlusion with macular edema	C0339507	232048009	
4916	aflibercept	Diabetic macular edema	C0730285	312912001	DOID:9191
4916	aflibercept	Metastasis from malignant tumor of colon	C1282500	314998002	
3961	ilaprazole	Gastroesophageal reflux disease	C0017168	235595009	DOID:8534
4898	netupitant	Chemotherapy-induced nausea and vomiting	C0401160	236084000	
4899	ledipasvir	Chronic hepatitis C	C0524910	128302006	
2408	roxatidine acetate	Gastric ulcer	C0038358	397825006	DOID:10808
2070	pazufloxacin	Sepsis due to Streptococcus pneumoniae	C2887084	448421008	
4900	diquafosol	Tear film insufficiency	C0013238	46152009	DOID:10138
4901	insulin glargine	Diabetes mellitus type 1	C0011854	46635009	DOID:9744
4901	insulin glargine	Diabetes mellitus type 2	C0011860	44054006	DOID:9352
1537	lafutidine	Gastro-esophageal reflux disease with esophagitis	C0677659	266433003	
272	azelnidipine	Hypertensive disorder	C0020538	38341003	DOID:10763
4902	imidafenacin	Bladder muscle dysfunction - overactive	C0403643	236633002	
1638	maxacalcitol	Pustular psoriasis	C0152081	200973000	DOID:8503
972	duloxetine	Female stress incontinence	C0038437	60241006	DOID:724
4903	nintedanib	Hamman-Rich syndrome	C0085786	700250006	DOID:2797
4904	adalimumab	Rheumatoid arthritis	C0003873	69896004	DOID:7148
4904	adalimumab	Juvenile idiopathic arthritis	C3495559	410502007	
4904	adalimumab	Psoriasis with arthropathy	C0003872	33339001	DOID:9008
